기관명,계약번호,계약명,계약일,계약금액,계약상대자,키워드
서면초등학교,2026K100001753250142,[S2B] AI디지털 활용 선도학교 에듀테크라이센스 구입(캡컷),2026-04-23,,,에듀테크
서부초등학교,2026K100000900250155,2026년 서부초 더배움공동체 에듀테크 및 라이센스 구입비 지급,2026-04-23,,,에듀테크
정선정보공업고등학교,2026K100000488350009,2026학년도 AI디지털 활용 선도학교 에듀테크 구독료 및 라이선스 구입,2026-04-23,,,에듀테크
중앙초등학교,2026K100001382250176,2026 AI선도학교운영 에듀테크 구입비 지급(스쿨플랫 수학),2026-04-22,,,에듀테크
만대초등학교,2026K100003820250170,[카드] 2026학년도 AI디지털 선도학교 교사디지털 에듀테크 구입(띵커벨),2026-04-22,,,에듀테크
중앙초등학교,2026K100001382250173,2026 AI선도학교운영 에듀테크 구입비 지급(리드포스쿨),2026-04-22,,,에듀테크
중앙초등학교,2026K100001382250174,2026 AI선도학교운영 에듀테크 구입비 지급(수학대왕),2026-04-22,,,에듀테크
중앙초등학교,2026K100001382250175,2026 AI선도학교운영 에듀테크 구입비 지급(듀오링고),2026-04-22,,,에듀테크
중앙초등학교,2026K100001382250162,2026 AI선도학교운영 에듀테크 구입비 지급(카훗 원),2026-04-21,,,에듀테크
설악중학교,2026K100000995250162,[S2B]AI.디지털선도학교 운영 에듀테크 프로그램 구입비(제미나이외) 지급,2026-04-21,,,에듀테크
기린초등학교,2026K100001475250126,2026 디지털AI 활용 선도학교 에듀테크 서비스 앱(프로그램) 구입(수학대왕 앱),2026-04-21,,,에듀테크
만대초등학교,2026K100003820240002,2026학년도 AI디지털 선도학교 에듀테크 및 코스웨어 구입(챗GPT 외 7종),2026-04-21,,,에듀테크
무릉초등학교,2026K100001189350002,[S2B]2026학년도 AI중점학교 운영에 따른 에듀테크 코스웨어 계정 사용 용역 계약,2026-04-21,,,에듀테크
만대초등학교,2026K100003820250149,[카드]2026학년도 AI디지털 선도학교 교사디지털 에듀테크 구입(젭퀴즈),2026-04-20,,,에듀테크
홍천여자중학교,2026K100002155250139,AI디지털활용선도학교 에듀테크 구입,2026-04-20,,,에듀테크
남춘천초등학교,2026K100001833250068,[S2B] 디지털선도학교 에듀테크 구독료(망고보드프로),2026-04-17,,,에듀테크
봄내초등학교,2026K100001852350022,[카드] 2026년 AI·디지털 활용 선도학교 AI 에듀테크 구독료 구입,2026-04-17,,,에듀테크
남춘천초등학교,2026K100001833350006,[S2B] 디지털선도학교 에듀테크 구독료,2026-04-17,,,에듀테크
홍천여자중학교,2026K100002155250127,AI디지털활용선도학교 에듀테크 구입,2026-04-17,,,에듀테크
강현중학교,2026K100000993250086,AI디지털선도학교 에듀테크 구독료,2026-04-17,,,에듀테크
봉의초등학교,2026K100001853250152,[S2B] 디지털 선도학교 AI에듀테크 서비스 구입,2026-04-17,,,에듀테크
연당초등학교,2026K100001219250120,2026년 AI 디지털 활용 선도학교 운영 에듀테크(토도 한글외 2종) 구입,2026-04-16,,,에듀테크
광정초등학교,2026K100001006250103,학생 맞춤형 영어교육 프로그램 운영에 따른 에듀테크 프로그램 이용료 지급,2026-04-16,,,에듀테크
연당초등학교,2026K100001219250123,2026년 AI 디지털 활용 선도학교 운영 에듀테크(알공영어) 구입,2026-04-16,,,에듀테크
모산초등학교,2026K100000588250091,[카드] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(패들렛),2026-04-15,,,에듀테크
모산초등학교,2026K100000588250099,[S2B] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(클로드프로외 2종),2026-04-15,,,에듀테크
영월고등학교,2026K100000460250131,[카드] 2026 AI중점학교 에듀테크 SW 및 도서 구입,2026-04-15,,,에듀테크
봉의초등학교,2026K100001853250135,[S2B] 디지털 선도학교 AI에듀테크서비스 이용료,2026-04-15,,,에듀테크
설악중학교,2026K100000995250138,"[S2B]AI.디지털선도학교 운영 에듀테크(카훗, 패들렛) 프로그램 구입비 지급",2026-04-15,,,에듀테크
모산초등학교,2026K100000588250098,[S2B] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(리딩앤),2026-04-15,,,에듀테크
모산초등학교,2026K100000588250101,[s2b] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(밀크 T),2026-04-15,,,에듀테크
모산초등학교,2026K100000588250097,[s2b] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(수학학습프로그램),2026-04-15,,,에듀테크
모산초등학교,2026K100000588250100,"[s2b] 2026년 AI·디지털 활용 선도학교 에듀테크 구독료 지급(토도수학, 한글)",2026-04-15,,,에듀테크
근남초등학교,2026K100001742250081,[S2B] AI·디지털 활용 선도학교 에듀테크 라이센스 구입,2026-04-15,,,에듀테크
정선정보공업고등학교,2026K100000488340001,2026학년도 AI·디지털 활용 선도학교 에듀테크 구독 및 라이선스 구입비 지급,2026-04-14,,,에듀테크
정선정보공업고등학교,2026K100000488240009,2026학년도 AI·디지털 활용 선도학교 에듀테크(라이선스 포함) 및 실습 재료비 지급,2026-04-14,,,에듀테크
우석중학교,2026K100001809340001,2026년 AI디지털활용 선도학교 운영 에듀테크 구독료 품의,2026-04-14,,,에듀테크
남춘천초등학교,2026K100001833350005,[S2B] 디지털선도학교 에듀테크 구독료,2026-04-14,,,에듀테크
상지여자중학교,2026K100001304250030,디지털 기반 선도학교 운영 AI에듀테크 구독료(과학),2026-04-13,,,에듀테크
