계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
2024080297378,물품,다산고 2024년 멀티미디어실 소프트웨어 넷클래스 구입,2024-08-17,440000,경기도교육청 다산고등학교,다산고등학교,7530608,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080C600_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080319871,물품,2024학년도 디지털기반 교육혁신 선도학교 운영 에듀테크프로그램 구매 계약,2024-08-26,3095400,경기도교육청 광문고등학교,광문고등학교,7530053,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080CE3B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080321676,물품,정보과 AI코스웨어 구입계약,2024-08-23,15000000,충청남도서산교육청 서산중학교,서산중학교,8191011,중학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080D229_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080321942,물품,2024년 금광초공간재구조화 스마트기가 구입(AI실물화상기),2024-09-11,9680000,경기도안성교육청 금광초등학교,금광초등학교,7761020,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080D2C0_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080379128,물품,광운인공지능고등학교 2024학년도 2학기 실험실습재료 구입,2024-08-27,30690060,서울특별시교육청 광운인공지능고등학교,광운인공지능고등학교,7011505,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080F4DC_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080408589,물품,2024학년도 2학기 수학 AI코스웨어 프로그램 사용 계약,2024-08-27,7785000,인천광역시교육청 인천고등학교,인천고등학교,7310057,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202408104EA_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080408590,물품,"2025학년도 부산소프트웨어마이스터고등학교 교복(동복,하복) 학교주관구매 계약",2024-08-28,21088000,부산광역시교육청 부산소프트웨어마이스터고등학교,부산소프트웨어마이스터고등학교,7150658,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202408104EB_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080408894,물품,광운인공지능 2024학년도 신입생 홍보물품 및 현장실습 교육과정 기업발굴기념품 구입,2024-08-28,13028570,서울특별시교육청 광운인공지능고등학교,광운인공지능고등학교,7011505,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240810592_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080409207,물품,[재구조화] 2024년 직업계고 웹툰콘텐츠과 소프트웨어(클립스튜디오) 구입,2024-08-27,6075300,서울특별시교육청 서울디자인고등학교,서울디자인고등학교,7010741,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240807D72_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080409356,물품,안산호원초등학교 AI 코스웨어 사용,2024-08-27,12157200,경기도안산교육청 안산호원초등학교,안산호원초등학교,7611032,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240810676_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080437273,물품,울산공업고등학교 도제학교 CAM 소프트웨어 구매 계약,2024-08-29,32340000,울산광역시교육청 울산공업고등학교,울산공업고등학교,7480044,고등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202408115C2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080437429,물품,금성중학교 AI교실 구축공사 관급자재(바닥재) 구매,2024-08-28,3560000,전라남도나주교육청 금성중학교,금성중학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240811612_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080457999,물품,2024학년도 디지털기반 교육혁신 선도학교 운영을 위한 3학년 기술가정 리빙박스 앱 라이선스 구입,2024-08-30,1000000,경기도광명교육청 소하중학교,소하중학교,7591008,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240811D97_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080461112,물품,2024학년도 1학년 수학교과AI 코스웨어 구입,2024-08-30,7000000,서울특별시동부교육청 장평중학교,장평중학교,7021139,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202408123F8_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024080483928,물품,2024학년도 순천공업고 도서관 정기간행물 구독,2024-08-30,1501600,전라남도교육청 순천공업고등학교,순천공업고등학교,7140192,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240812D3E_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090025338,물품,2024년 AI스마트로봇 선도학교 활용교육 로봇 구입 계약,2024-09-03,16120000,인천광역시북부교육청 인천후정초등학교,인천후정초등학교,7331051,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090120D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090026198,물품,옥동초 디지털선도학교 코스웨어 추가 구입 계약(3-4학년),2024-09-04,5863000,충청북도진천교육청 옥동초등학교,옥동초등학교,8081018,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240901308_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090053461,물품,2024 실습실 Adobe 소프트웨어 연간 임대 계약,2024-09-05,21220000,서울특별시교육청 세그루패션디자인고등학교,세그루패션디자인고등학교,7011084,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240902394_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
