학교,제품,찾은 곳,주소
대원고등학교,DBpia,(첫 화면),http://daewon.sen.hs.kr
대원고등학교,리로스쿨,(첫 화면),http://daewon.sen.hs.kr
유등초등학교,하이클래스,공지사항,http://www.yudeung.es.kr
동작고등학교,e알리미,(첫 화면),http://dongjak.sen.hs.kr
강동고등학교,학교종이,(첫 화면),http://gang-dong.hs.kr 
