회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,강화여자중학교,1인수의,용역,Ai 디지털 선도학교 교육자료 개발을 위한 에듀테크 구입,2026-06-24,49500,SUNO,에듀테크
2026,인천해원초등학교,1인수의,물품,[S2B] 2026학년도 초등 수업나눔교사 에듀테크 구입,2026-06-24,105000,에듀포트,에듀테크
2026,인천해양과학고등학교,1인수의,용역,에듀테크(하마룸) 구독료 지급,2026-06-23,1760000,주식회사티처라인,에듀테크
2026,인천산곡북초등학교,1인수의,물품,2026 에듀테크수학 운영물품 구입 지급,2026-06-23,299700,제이플러스,에듀테크
2026,인천가원초등학교,1인수의,물품,2026 에듀테크 서비스 구독료 지급(2회차),2026-06-23,125400,(주)에이마스,에듀테크
2026,인천연송초등학교,1인수의,물품,에듀테크 활용교육 관련 소프트웨어 프로그램(Adobe CCT 500 Plus) 라이선스 구,2026-06-23,627000,(주)에이마스,에듀테크
2026,인천디자인고등학교,1인수의,물품,[AI선도학교] AI 에듀테크 행사 소모품 구입,2026-06-23,67680,쿠팡 주식회사,에듀테크
2026,인화여자고등학교,1인수의,물품,2026학년도 에듀테크 활용교육 운영 물품 구입,2026-06-22,166750,쿠팡(주),에듀테크
2026,계산중학교,1인수의,물품,에듀테크 활용 교육을 위한 유료툴 구입비 지급(제미나이),2026-06-22,75000,한선영,에듀테크
2026,인천대중예술고등학교,1인수의,물품,[전학공] 2026년 교내형 전문적학습공동체 에듀테크 1차 도서 구입,2026-06-22,90200,예스이십사주식회사,에듀테크
2026,산곡중학교,1인수의,물품,2026년 에듀테크 활용 소프트웨어(6월분) 구입,2026-06-22,26360,ChatGPT_NICE(구),에듀테크
2026,계산중학교,1인수의,물품,[카드]에듀테크 활용 교육을 위한 물품 구입비 지급(모니터 받침대),2026-06-19,28880,쿠팡(주),에듀테크
2026,인천청람중학교,1인수의,용역,[에듀테크활용교육]에듀테크 활용 수업을 위한 소프트웨어 구독[Adobe],2026-06-19,627000,(주)에이마스,에듀테크
2026,인천대화초등학교,1인수의,물품,2026학년도 에듀테크 활용 교육 중심 수업 지원을 위한 마우스 구입,2026-06-17,100000,주식회사 지마켓,에듀테크
2026,인천봉수초등학교,1인수의,물품,수업나눔 공개수업용 에듀테크 구입,2026-06-16,288000,(주)오시리스시스템즈,에듀테크
2026,인천신현고등학교,1인수의,물품,수업평가혁신 실천을 위한 에듀테크 물품 구입(CLIPO 클리포),2026-06-15,594000,주식회사 데이터드리븐,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]사회정서 에듀테크 물품 구입,2026-06-15,219960,예스이십사 주식회사,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]2026학년도 AI 에듀테크 사회정서 전학공 협의회,2026-06-12,167900,담소담,에듀테크
2026,부흥중학교,1인수의,물품,AI융합동아리 운영을 위한 교육플랫폼(에듀테크) S2B구입,2026-06-12,240000,클라스온 주식회사,에듀테크
2026,용현여자중학교,1인수의,물품,AI디지털 활용 선도학교 교사 에듀테크(클리포) 지원,2026-06-12,132000,주식회사 데이터드리븐,에듀테크
2026,북인천여자중학교,1인수의,물품,(카드)[AI]2026년 AI융합교육 에듀테크 라이센스 구입(수업 및 동아리용),2026-06-11,85710,OPENAI,에듀테크
2026,서곶중학교,1인수의,물품,2026학년도 1학기 에듀테크 서비스 구입,2026-06-11,70500,위드현 에듀테크,에듀테크
2026,인천청학초등학교,1인수의,물품,에듀테크 GPT 프로그램 구입비 지급,2026-06-10,432000,제이로이,에듀테크
2026,인천가림초등학교,1인수의,물품,호두잉글리쉬 에듀테크 구입비 지급(프로그램이용권),2026-06-10,5644800,주식회사 호두랩스,에듀테크
2026,인천문남초등학교,1인수의,물품,2026학년도 AI 디지털 선도학교 코스웨어 및 에듀테크 구매(3차분 추가),2026-06-10,1200000,주식회사 젭,에듀테크
2026,인천원당초등학교,1인수의,물품,발명교육 활성화를 위한 에듀테크 구입,2026-06-10,490000,테크빌교육(주),에듀테크
2026,신송고등학교,1인수의,용역,2026학년도 디지털 선도학교 에듀테크 연간 이용권(어도비) 구입비 지급,2026-06-09,815100,(주)에이마스,에듀테크
2026,하점초등학교,1인수의,물품,[6/9] 영어 에듀테크 활용 독려를 위한 챌린지 물품 구입비 지급,2026-06-09,33660,(주)이베이코리아-지마켓/옥션,에듀테크
2026,인천당산초등학교,1인수의,물품,디지털선도학교 에듀테크 및 AI 구독료 지급,2026-06-08,1200000,주식회사 에누마코리아,에듀테크
2026,인천뷰티예술고등학교,1인수의,물품,교단선진화 및 에듀테크연구회 정보화소모품 구입,2026-06-08,880000,(주)이노텍코리아,에듀테크
