계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-53a5db8a6f23,물품,도서관 운영을 위한 에듀 프로그램(미리캔버스) 구입,2025-10-02,160800,경상남도교육청 수정초등학교,수정초등학교,스쿨플러스,9051030,초등학교,경상남도,
-232fc9a05deb,물품,[카드] 2025. 디지털 미디어 리터러시 프로그램 라이센스 구입(미리캔버스),2025-08-05,521500,경상남도교육청 웅양초등학교,웅양초등학교,(주)미리디,9211014,초등학교,경상남도,
-ec65c42e7782,물품,2025학년도 학교현장맞춤형 디지털 기반 교육혁신을 위한 에듀테크 도구(미리캔버스) 구입,2025-07-03,178800,경상남도교육청 함안여자중학교,함안여자중학교,나이스쿨,9131033,중학교,경상남도,
-4179c0a94b90,물품,2025학년도 교육용 SW(미리캔버스) 구입비 지급,2025-06-14,160800,경상남도교육청 문선초등학교,문선초등학교,(주)미리디,9081015,초등학교,경상남도,
-4a0a386bd10e,물품,기초학력 향상 프로그램 구독료 지급(미리캔버스),2025-06-09,1251600,경상남도교육청 가촌초등학교,가촌초등학교,주식회사 미리디,9151149,초등학교,경상남도,
-3031cdcf6455,물품,교육용 에듀테크(미리캔버스) 라이센스 구입,2025-06-05,2324400,경상남도교육청 제석초등학교,제석초등학교,주식회사 미리디,9071088,초등학교,경상남도,
-2c5719715719,물품,2025. 교육자료사이트(미리캔버스) 연간 구독비 지급,2025-05-20,321600,경상남도교육청 예하초등학교,예하초등학교,미리캔버스,9051033,초등학교,경상남도,
-d480b129ffad,물품,2025학년도 방송실 운영물품(미리캔버스 연간구독) 구입비 지출,2025-05-20,160800,경상남도교육청 진해중앙고등학교,진해중앙고등학교,(주)미리디,9010252,고등학교,경상남도,
-634196ce2175,물품,에듀테크(미리캔버스) 프로그램 구입,2025-05-20,135000,경상남도교육청 거제중앙고등학교,거제중앙고등학교,한국교직원공제회 S2B,9010031,고등학교,경상남도,
-7fdf8d4c135e,물품,[카드]2025. 유치원 교육사이트 이용료 지출(미리캔버스),2025-05-19,160800,경상남도교육청 예하초등학교,예하초등학교,미리디,9051033,초등학교,경상남도,
-b24acef8fd82,물품,2025. 에듀테크 교육콘텐츠(미리캔버스) 지출,2025-05-09,134000,경상남도교육청 창원상남초등학교,창원상남초등학교,(주)미리디,9022100,초등학교,경상남도,
-0188fdca8f4a,물품,(카드)2025학년도 고교학점제를 위한 교수학습 컨텐츠(미리캔버스) 사용비...,2025-05-04,160800,경상남도교육청 통영여자고등학교,통영여자고등학교,미리캔버스,9010075,고등학교,경상남도,
-14b11b69d861,물품,2025학년도 디지털 기반 학생 맞춤교육 선도학교 에듀테크(미리캔버스) 구독,2025-04-30,6600000,경상남도교육청 창원용호고등학교,창원용호고등학교,주식회사 미리디,9010262,고등학교,경상남도,
-6bb123572001,물품,2025학년도 미리캔버스 프로그램 연간 사용권 구매,2025-04-29,160800,경상남도교육청 마산용마고등학교,마산용마고등학교,미리캔버스,9010273,고등학교,경상남도,
-ed8e00f27524,물품,교육 및 업무 지원 에듀테크 서비스[미리캔버스Pro] 구독,2025-04-28,482400,경상남도교육청 김해모산중학교,김해모산중학교,주식회사 미리디,9091226,중학교,경상남도,
-bbadee1e7a29,물품,2025. 디지털 기반 학생 맞춤교육 선도학교 에듀테크(미리캔버스) 구입,2025-04-24,2145600,경상남도교육청 웅상중학교,웅상중학교,주식회사 미리디,9151046,중학교,경상남도,
-4c650ef461fe,물품,디지털 기반 학생 맞춤교육 연구학교 운영을 위한 에듀테크(미리캔버스) ...,2025-04-21,536400,경상남도교육청 김해율하고등학교,김해율하고등학교,아이티존(주),9010431,고등학교,경상남도,
-0dd0f254559c,물품,미리캔버스 구독료 지급,2025-04-20,160800,경상남도교육청 대의초등학교,대의초등학교,(주)미리디(미리캔버스),9121008,초등학교,경상남도,
-4916550293c6,물품,2025. 디지털 기반 학생 맞춤교육 선도학교 운영 구독권 구입(미리캔버스 E...,2025-04-17,550000,경상남도교육청 외간초등학교,외간초등학교,주식회사 미리디,9111030,초등학교,경상남도,
-9acc6830c77d,물품,2025. 미리캔버스 SW라이센스 구입비 지출,2025-04-14,160800,경상남도교육청 정곡초등학교,정곡초등학교,미리캔버스,9121014,초등학교,경상남도,
