계약번호,구분,계약명,계약일,금액,수요기관,학교코드,급별,시도,상세URL,학교명,업체명
R26TE15988014,기술용역,2026년 AI·STEAM 융합교육 프로그램 용역 계약,2026-06-26,7209000,경기도교육청 시온고등학교,7530176,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01995224&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,시온고등학교,주식회사 두메이커
R26TE15992117,기술용역,서현고 AI for ALL 교과연계 프로그램 운영,2026-06-23,15993000,경기도교육청 서현고등학교,7530081,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01996253&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,서현고등학교,주식회사 티앤비스쿨에듀
R26TE15992767,기술용역,부용고등학교 3학년 학교자율교육과정 AI기반 진로탐구 캠프 프로그램 운영,2026-06-24,5540000,경기도교육청 부용고등학교,7530575,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01992982&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,부용고등학교,피스에듀케이션
R26TE15992826,기술용역,2026학년도 서울신성초등학교 AI기반 4차산업 미래교육 위탁 용역,2026-06-01,10000000,서울특별시동작교육청 서울신성초등학교,7132109,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01993498&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,서울신성초등학교,주식회사 두메이커
R26TE15993035,기술용역,20260721 진로융합 기초프로그램 및 인공지능 체험 전세버스 임차 용역,2026-06-24,1650000,충청남도교육청 충청남도당진교육지원청 대덕초등학교,8291102,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01994725&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,대덕초등학교,신성관광주식회사
R26TE16026114,기술용역,(텍폴캠) 2026학년도 AI모빌리티 학과재구조화 전교직원 역량강화 연수 버스 임차,2026-06-24,1430000,대구광역시교육청 대구공업고등학교,7240111,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01988216&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,대구공업고등학교,주식회사 경일항공여행사
R26TE16026935,기술용역,2026학년도 고촌고등학교 AI 융합 프로젝트 계약,2026-06-24,6700000,경기도교육청 경기도김포교육지원청 고촌고등학교,7531375,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01995982&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,고촌고등학교,(주)러닝퓨처
R26TE16027405,기술용역,1학기 AI 융합 체험학습 차량 임차,2026-06-24,880000,충청남도교육청 서령고등학교,8140089,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01997778&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,서령고등학교,대산관광(주)
R26TE16028121,기술용역,전북인공지능고등학교 체육관 전면보수 기계설비공사 설계용역,2026-06-23,15314000,전북특별자치도교육청 전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01587698&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,전북인공지능고등학교,주식회사 부윤엔지니어링
R26TE16028202,기술용역,"전북인공지능고등학교 체육관 전면보수 전기,통신,소방공사 설계용역",2026-06-23,12237000,전북특별자치도교육청 전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01587794&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,전북인공지능고등학교,주식회사 대신기술단
