계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024100024163,물품,2025년 부산해군과학기술고 전환개교 지원사업 기자재(응용소프트웨어-OrCAD) 구매,2024-10-02,21650000,부산광역시교육청 해운대공업고등학교,해운대공업고등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024100054C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,에스엔지시스템
2024100024974,물품,AI직무역량 프로그램 구입,2024-10-02,3000000,경기도교육청 분당아람고등학교,분당아람고등학교,7531423,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20241000721_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,(주)에듀스
2024100054228,물품,2024 청개구리 클래스 코딩드론 물품 구매 계약,2024-10-04,4680000,경기도교육청 경기도수원교육지원청 명인초등학교,명인초등학교,7541137,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202410018D1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,포스쿨
2024100055802,물품,아이온 AI로봇 구입,2024-10-10,1452000,경기도교육청 경기도구리남양주교육지원청 다산가람초등학교,다산가람초등학교,7652300,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20241001C50_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,네오피아 강북지사
2024100077606,물품,순천강남여자고등학교 외국어과 AI코스웨어 구입,2024-08-30,13500000,전라남도교육청 순천강남여자고등학교,순천강남여자고등학교,7140223,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20241003338_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 제로엑스플로우
2024100100423,물품,영산중 밀리 프리미엄 서비스 무제한 구독권(6개월권) 구매,2024-10-14,5643000,전라남도나주교육청 영산포중학교,영산포중학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202410039F7_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 케이티밀리의서재
2024100155507,물품,AI교실 비품 구입(컴퓨터 외 17종),2024-10-10,11449400,전라남도나주교육청 노안중학교,노안중학교,8532014,중학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202409053B1_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 화신테크(지점)
2024100191548,물품,[재구조화] 2024년 직업계고 웹툰콘텐츠과 소프트웨어(클립스튜디오) 2차 구매,2024-10-11,4544540,서울특별시교육청 서울디자인고등학교,서울디자인고등학교,7010741,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20241006875_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 인간과컴퓨터
2024100241532,물품,금신초 디지털기반 교육혁신 선도학교 운영을 위한 라이센스 구입 계약,2024-10-14,3000000,경기도교육청 경기도파주교육지원청 금신초등학교,금신초등학교,7681028,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202410074CE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
2024100274991,물품,AI 코스웨어(클래스팅 AI) 구입,2024-10-22,14520000,서울특별시성동교육청 한양초등학교,한양초등학교,7134118,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20241009092_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
