회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2024,정관중학교,1인수의,도서대출반납기 사용을 위한 RFID 태그 부착 용역비 지출,2024-12-30,7000000,해운도서,(전수)
2024,온천초등학교,1인수의,2024학년도 학생구강검진비 지출,2024-12-30,4725840,비에스치과교정과 치과의원,(전수)
2024,온천초등학교,1인수의,2024학년도 학생건강검진비 지출,2024-12-30,6060990,(사)한국건강관리협회,(전수)
2024,인지중학교,1인수의,"인지 학예발표회 음향,조명, 중계 용역",2024-12-30,3500000,엘로이기획,(전수)
2024,인지초등학교,1인수의,2024학년도 졸업선물 구입비 지출,2024-12-30,1173700,벤지 주식회사,(전수)
2024,좌동초등학교,1인수의,2024학년도 12월 초1 무상 학습형 늘봄 수학 교구 및 한글 도서 구입비 지출,2024-12-30,1415840,예스이십사주식회사,(전수)
2024,재송초등학교,1인수의,강당 강화마루 교체 및 화장실 개보수 작업비 지출,2024-12-30,7365600,동남테크,(전수)
2024,좌산초등학교,1인수의,2024학년도 전통놀이 시설 라인 작업 및 설치,2024-12-30,1244100,한국교구,(전수)
2024,장산중학교,1인수의,보건실 및 학부모상담실 등 교육환경 개선 전기공사비 지급,2024-12-30,2000000,주식회사 만해전력,(전수)
2024,좌동초등학교,1인수의,메이커 교육을 위한 체험 및 학습 자료 구입비 지출,2024-12-30,1271580,"이베이코리아 유한책임회사(G마켓, 옥션)",(전수)
2024,일광유치원,2인이상수의,"2025년 1월 일광유치원,해빛유치원 육류 종합계약",2024-12-30,1004390,인화축산,(전수)
2024,재송초등학교,1인수의,운동장 경계라인 설치 및 철거 작업비 지출,2024-12-30,4184800,클린스쿨부산,(전수)
2024,용인고등학교,1인수의,펌프실 입형급수펌프교체 및 설치,2024-12-30,9823000,대한개발,(전수)
2024,우암초등학교,1인수의,과학실험 준비물 구입비 지출,2024-12-30,2712200,로봇코리아,(전수)
2024,장전중학교,1인수의,2024년 장전중학교 스포츠클럽 축구반 유니폼 구입비 지출,2024-12-30,1000000,스포츠팩토리,(전수)
2024,일광유치원,2인이상수의,"2025년 1월 일광유치원,해빛유치원 농산물, 수산물, 가공식품, 김치류, 곡류, 우유류 종합계약",2024-12-30,6002980,장수식품,(전수)
2024,인지중학교,1인수의,1학년 건강검진비 지출,2024-12-30,1642760,효성시티병원,(전수)
2024,백양초등학교,1인수의,학교홍보용 전광판 구입비 지출(s2b),2024-12-30,6000000,주식회사 케이시스,(전수)
2024,명진초등학교,1인수의,"2024학년도 보살핌 늘봄교실(1,2)반, 연계형 늘봄교실 물품 구입",2024-12-30,1215760,예스이십사주식회사,(전수)
2024,명호초등학교,1인수의,2024학년도 12월 보살핌 늘봄교실 특기적성교육 강사료 지급,2024-12-30,1260000,(사)경성청소년교육진흥원,(전수)
2024,모전중학교,1인수의,2025학년도 신입생 입학 안내 및 과제물 책자 제작비,2024-12-30,1155000,거북인쇄공사,(전수)
2024,명호초등학교,1인수의,2024학년도 앰프 교체(S2B),2024-12-30,2067000,(주)에스엠에스정보통신,(전수)
2024,명호초등학교,1인수의,2024학년도 앰프 수리 및 방송 선로 정비 작업 실시(S2B),2024-12-30,2933000,(주)에스엠에스정보통신,(전수)
2024,반석초등학교,1인수의,악기(아코디언) 구입비 지출,2024-12-30,2800000,목화악기,(전수)
2024,명호초등학교,1인수의,2024학년도 졸업식 행사 포토존 대여(S2B),2024-12-30,1485000,이룸이벤트,(전수)
2024,명호고등학교,1인수의,2024학년도 2학기 1학년 자기주도학습 참여 및 우수 학생 상품 구입비 지출(상품권 포함,2024-12-30,1036600,(주)아성다이소 명지국제신도시점,(전수)
2024,반석초등학교,1인수의,2024학년도 반석어린이시집(너럭바위 꽃잎편지9)발간 지출,2024-12-30,3700000,더새론문화사,(전수)
2024,반산초등학교,1인수의,2024학년도 학생 구강검진비 지급,2024-12-30,1218000,미소담치과의원,(전수)
2024,반산초등학교,1인수의,2024학년도 학생 구강검진 비용 지급,2024-12-30,1015000,재송부부치과의원,(전수)
2024,배산초등학교,1인수의,[S2B] 학생용 미니 방석 구입,2024-12-30,2360000,갈매기스쿨,(전수)
2024,백산초등학교,1인수의,[S2B]밴드부실 냉.난방기 전원선 설치 작업비 지급,2024-12-30,1056000,(주)장산전력,(전수)
2024,백운초등학교,1인수의,2024학년도 아침 체인지 관련 물품비 지급(S2B),2024-12-30,1496000,럭키존,(전수)
2024,반여고등학교,1인수의,반여고등학교 양곡 식재료 구입,2024-12-30,2695000,가락농협미곡종합처리장,(전수)
2024,반여고등학교,1인수의,2024학년도 1학년 문화체험활동 용역비 지급,2024-12-30,1664000,예든평생교육원,(전수)
2024,반여고등학교,1인수의,11~12월 석식 특근매식비 지급,2024-12-30,1594300,반여고등학교,(전수)
2024,범일초등학교,1인수의,화장실 소모품 구입,2024-12-30,2320000,사)부산광역시장애인생산품판매시설,(전수)
2024,방곡초등학교,1인수의,교무실 소모품 및 사무용품 구입비 지출,2024-12-30,1278110,지마켓글로벌 유한책임회사,(전수)
2024,보림초등학교,1인수의,2024학년도 보살핌 늘봄교실 물품구입,2024-12-30,1701310,주식회사 지마켓,(전수)
2024,방곡초등학교,1인수의,내빈용 덧신 구입비 지출,2024-12-30,1560000,학교장터,(전수)
2024,백양중학교,1인수의,2024학년도 학교운동부 장비 구입,2024-12-30,1463030,디엠스포츠,(전수)
2024,명지초등학교,1인수의,"2학기 교내 문화예술 체험(5학년 가수,댄스,마술 공연) 활동비 지급(S2B)",2024-12-30,3500000,드림피아,(전수)
