계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE05488609,물품,Adobe 프로그램 구입,2025-07-01,1650000,경기도교육청 광탄고등학교,광탄고등학교,7530838,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00685420&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05494937,물품,2025. 한국나노마이스터고등학교 기자재(응용소프트웨어2) 구매 ,2025-06-18,70400000,경상남도교육청 한국나노마이스터고등학교,한국나노마이스터고등학교,9010655,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00641114&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05495716,물품,경주공업고 소프트웨어(EPLAN 외 2종) 구입,2025-02-05,318820000,경상북도교육청 경주공업고등학교,경주공업고등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00094046&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05496462,물품,국립국악고등학교 컴퓨터실 소프트웨어(시벨리우스) 구매,2025-05-08,3344000,문화체육관광부 국립국악고등학교,국립국악고등학교,1371661,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00507553&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05498616,물품,2025학년도 인공지능로봇 지원사업 기자재(교구) 물품 구매,2025-06-30,10000000,충청남도교육청 금산산업고등학교,금산산업고등학교,8140115,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00684659&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05499280,물품,2025년 부산해군과학기술고 전환개교 지원사업 기자재(응용소프트웨어-OrCAD) 구매,2024-10-02,21650000,부산광역시교육청 부산해군과학기술고등학교,부산해군과학기술고등학교,7150746,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024100054C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05499887,물품,2025학년도 디지털 기반 학생 맞춤교육 소프트웨어 구매 수의계약 안내공고,2025-07-02,13750000,경상북도교육청 경주여자정보고등학교,경주여자정보고등학교,8750457,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00685416&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05502832,물품,"평택여중 교수-학습 관련 에듀테크 패들렛,챗GPT 구독권 구입 계약",2025-05-26,2701000,경기도평택교육청 평택여자중학교,평택여자중학교,7631007,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00558560&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05504472,물품,전북인공지능고등학교 AI 교실 구축 및 기자재 구매,2025-06-30,237328000,전북특별자치도교육청 전북인공지능고등학교,전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00686855&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05508675,물품,2025학년도 컴퓨터실 그래픽프로그램 라이선스 구입,2025-07-10,2445300,경기도교육청 고양국제고등학교,고양국제고등학교,7530977,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00690963&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05543777,물품,2025학년도 디지털 기반 학생 맞춤교육 소프트웨어 구매 수의계약 안내공고,2025-07-02,13750000,경상북도교육청 경주여자정보고등학교,경주여자정보고등학교,8750457,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00685416&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05544625,물품,전북인공지능고등학교 AI 교실 기자재(LED) 구매,2025-07-02,54780000,전북특별자치도교육청 전북인공지능고등학교,전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00693820&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05546681,물품,전북인공지능고등학교 AI 교실 기자재(LED) 구매,2025-07-02,54780000,전북특별자치도교육청 전북인공지능고등학교,전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00693820&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE05549375,물품,2025년 경기 콘텐츠 창의학교 물품 구입(AI Rising 프로젝트) 계약,2025-07-02,10000000,경기도교육청 세경고등학교,세경고등학교,7530947,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00694608&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
