계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
S2B-202412109916681,물품,LG엘지 그램 15.6인치 인텔AI 울트라 노트북 컴퓨터PC WIN11 외 7종,2024-12-10,2268000,서울강솔초등학교,서울강솔초등학교,,7130251,초등학교,서울특별시,
S2B-202412109916680,물품,LG엘지 그램 15.6인치 인텔AI 울트라 노트북 컴퓨터PC WIN11 외 7종,2024-12-11,1790000,서울강솔초등학교,서울강솔초등학교,,7130251,초등학교,서울특별시,
S2B-202412109916679,물품,LG엘지 그램 15.6인치 인텔AI 울트라 노트북 컴퓨터PC WIN11 외 7종,2024-12-10,306000,서울강솔초등학교,서울강솔초등학교,,7130251,초등학교,서울특별시,
S2B-202412109916232,물품,스파이크 프라임 배터리 견적 요청,2024-12-13,276000,서울신상도초등학교,서울신상도초등학교,,7132108,초등학교,서울특별시,
S2B-202412109916180,물품,카훗(스쿨버전) X 체더스 카훗 EDU 스탠다드,2024-12-10,1050000,서울항동초등학교,서울항동초등학교,,7041267,초등학교,서울특별시,
S2B-202412109915731,물품,큐브로이드 인공지능 AI 로봇 아티보 외 1종,2024-12-10,4500000,개원중학교,개원중학교,,7091420,중학교,서울특별시,
S2B-202412109915730,물품,큐브로이드 인공지능 AI 로봇 아티보 외 1종,2024-12-11,5005000,개원중학교,개원중학교,,7091420,중학교,서울특별시,
S2B-202412109915222,물품,챗지피티 챗GPT 플러스 Chat GPT Plus (GPT4) 2개월,2024-12-11,110000,둔촌고등학교,둔촌고등학교,,7010076,고등학교,서울특별시,
S2B-202412109915138,물품,(목적 드론교육원)서울특별시 드론교육원 PIX4D mapper 소프트웨어 구입,2024-12-10,5500000,경기기계공업고등학교,경기기계공업고등학교,,7010271,고등학교,서울특별시,
S2B-202412109914694,물품,대우스포츠 디지털 악력기 PAPS 체력평가 악력측정시스템 외 1종,2024-12-10,510000,숭실중학교,숭실중학교,,7031198,중학교,서울특별시,
S2B-202412109914693,물품,대우스포츠 디지털 악력기 PAPS 체력평가 악력측정시스템 외 1종,2024-12-10,700000,숭실중학교,숭실중학교,,7031198,중학교,서울특별시,
S2B-202412109914582,물품,한국크레아 전자칠판용 악세사리,2024-12-10,25000000,중계중학교,중계중학교,,7051202,중학교,서울특별시,
S2B-202412109914346,물품,3D 교육용 가상현실안경 표준형 구글카드보드 카드보드 입체안경 VR,2024-12-10,182500,서울중곡초등학교,서울중곡초등학교,,7021111,초등학교,서울특별시,
S2B-202412109914067,물품,핑퐁로봇 에듀 스타트 알파 - AI 인공지능 코딩로봇,2024-12-10,815000,창천중학교,창천중학교,,7031219,중학교,서울특별시,
S2B-202412109914066,물품,7세 48종 세트 전세계 수상작 추천작 책읽어주는 로봇 고양이,2024-12-10,510000,서울옥정초등학교,서울옥정초등학교,,7134104,초등학교,서울특별시,
S2B-202412109913969,물품,오큘러스 메타퀘스트 3S 교육용 가상현실 체험 VR기기 외 1종,2024-12-10,480000,경희여자중학교,경희여자중학교,,7021122,중학교,서울특별시,
S2B-202412109913968,물품,오큘러스 메타퀘스트 3S 교육용 가상현실 체험 VR기기 외 1종,2024-12-10,350000,경희여자중학교,경희여자중학교,,7021122,중학교,서울특별시,
S2B-202412109913856,물품,축구 로봇 아카데미 무선 과학 로보트 외 1종,2024-12-10,119600,강동고등학교,강동고등학교,,7010117,고등학교,서울특별시,
S2B-202412109913692,물품,마이크로비트 V2.21 스타터키트 케이블 보관함 풀세트,2024-12-10,376480,서울장안초등학교,서울장안초등학교,,7134110,초등학교,서울특별시,
S2B-202412109913255,물품,과학교과 실험교구 구입(퓨너스 레고 에듀케이션),2024-12-10,700000,추계초등학교,추계초등학교,,7031175,초등학교,서울특별시,
S2B-202412099912719,물품,BBC 마이크로비트 v2.21 케이블,2024-12-09,713000,서울신사초등학교,서울신사초등학교,,7031143,초등학교,서울특별시,
S2B-202412099911496,물품,패드뱅크3 태블릿 및 노트북 충전보관함용 마스터키 열쇠,2024-12-09,33000,화곡중학교,화곡중학교,,7081524,중학교,서울특별시,
S2B-202412099911274,물품,패들렛 플래티늄 아름답게 꾸미는 작업물 1개월,2024-12-09,19000,서울나래학교,서울나래학교,,7011483,특수학교,서울특별시,
S2B-202412099911244,물품,솔샘고등학교 1학년 4반 전자칠판 거치대 구매,2024-12-09,770000,솔샘고등학교,솔샘고등학교,,7011540,고등학교,서울특별시,
S2B-202412099910641,물품,거여초병설유 갤럭시 태블릿 PC 정품 구입,2024-12-09,720000,서울거여초등학교,서울거여초등학교,,7130110,초등학교,서울특별시,
S2B-202412099910540,물품,삼성 3면 입체 가열 MS 23L 항균 세라믹 전자레인지,2024-12-09,87000,버들초등학교,버들초등학교,,7822077,초등학교,강원특별자치도,
S2B-202412099909881,물품,야마하 Clavinova 디지털 전자 피아노 (정품의자 헤드폰 포함),2024-12-09,1800000,광장중학교,광장중학교,,7134124,중학교,서울특별시,
S2B-202412099909784,물품,챗GPT 플러스,2024-12-09,200000,서울정수초등학교,서울정수초등학교,,7121332,초등학교,서울특별시,
S2B-202412099909232,물품,마이크로비트 코딩교육 - 지니어스키트 (신형 마이크로비트 V2.21포함),2024-12-09,1296000,서울상봉초등학교,서울상봉초등학교,,7021097,초등학교,서울특별시,
S2B-202412099909168,물품,로티홈시스 다용도 접이식 멀티 플라스틱 교구 보관 스마트박스 60리터 외 1종,2024-12-09,38340,상도중학교,상도중학교,,7132143,중학교,서울특별시,
S2B-202412099909167,물품,로티홈시스 다용도 접이식 멀티 플라스틱 교구 보관 스마트박스 60리터 외 1종,2024-12-09,65690,상도중학교,상도중학교,,7132143,중학교,서울특별시,
S2B-202412099909121,물품,삼성 갤럭시탭 S7 FE LTE 12.4인치 64GB 태블릿PC,2024-12-09,876000,서울화일초등학교,서울화일초등학교,,7081481,초등학교,서울특별시,
S2B-202412099909103,물품,Argos MDM Agent (학교 스마트단말관리시스템 Agent)sw,2024-12-09,108900,영훈고등학교,영훈고등학교,,7010218,고등학교,서울특별시,
S2B-202412099908774,물품,삼성 전자레인지 23L 3면 입체가열 MS 항균 세라믹 전자렌지,2024-12-09,99000,신현중학교,신현중학교,,7021134,중학교,서울특별시,
S2B-202412099908432,물품,챗지피티 챗GPT 플러스 Chat GPT Plus (GPT4) 2개월,2024-12-09,110000,신광여자중학교,신광여자중학교,,7061108,중학교,서울특별시,
S2B-202412079908230,물품,삼성 갤럭시탭A 10.5 T590 태블릿PC 방탄 강화유리 액정보호필름 외 1종,2024-12-08,60000,서울아현초등학교,서울아현초등학교,,7031145,초등학교,서울특별시,
S2B-202412069908211,물품,인공지능 코딩로봇 알버트 AI 에듀팩2 합본팩 구입,2024-12-10,3450000,서울백석초등학교,서울백석초등학교,,7081443,초등학교,서울특별시,
S2B-202412069908071,물품,북크리에이터 Book Creator Premium,2024-12-06,150000,서울세륜초등학교,서울세륜초등학교,,7130137,초등학교,서울특별시,
S2B-202412069907953,물품,퓨너스 레고에듀케이션 스파이크 프라임 AI PRO PLUS 교육용 패키지,2024-12-06,6580000,서울조원초등학교,서울조원초등학교,,7132118,초등학교,서울특별시,
S2B-202412069907762,물품,광운인공지능고 2024학년도 3차 실험실습기자재 노트북 구입,2024-12-11,2558000,광운인공지능고등학교,광운인공지능고등학교,,7011505,고등학교,서울특별시,
S2B-202412069907085,물품,챗GPT 플러스 (Chat GPT plus 4-o),2024-12-06,699000,양천중학교,양천중학교,,7081510,중학교,서울특별시,
