학교,시도,도메인,링크문구,링크URL
계원예술고등학교,경기,school.educate.kr,영수증 출력,https://school.educate.kr/school_fee/kaywon
계원예술고등학교,경기,itmainkaywon.cafe24.com,방과후학교운영시스템,http://itmainkaywon.cafe24.com/app/regi/login.php
계원예술고등학교,경기,club.cyworld.com,--> 영수증출력,http://club.cyworld.com/kaywonmission
계원예술고등학교,경기,www.kaywonart.or.kr,총동문회,http://www.kaywonart.or.kr/
계원예술고등학교,경기,www.kaywon.ac.kr,계원디자인예술대학,http://www.kaywon.ac.kr/CmsHome/MainDefault.aspx
계원예술고등학교,경기,kaywon.goesn.kr,계원예술중학교,https://kaywon.goesn.kr/kaywon/main.do
계원예술고등학교,경기,www.paradise.co.kr,파라다이스그룹,https://www.paradise.co.kr/ko/main
계원예술고등학교,경기,www.paradise.or.kr,파라다이스복지재단,https://www.paradise.or.kr/front/site/main.asp
계원예술고등학교,경기,www.kmlm.or.kr,한국현대문학관,http://www.kmlm.or.kr/
계원예술고등학교,경기,www.greeninet.or.kr,"청소년정보이용안전망의 배너, 새창열림",http://www.greeninet.or.kr/
계원예술고등학교,경기,1388.kyci.or.kr,"헬프콜 청소년전화의 배너, 새창열림",http://1388.kyci.or.kr/
계원예술고등학교,경기,www.koreatree.or.kr,"보훈과 나라사랑 큰나무의 배너, 새창열림",http://www.koreatree.or.kr
계원예술고등학교,경기,www.stopbullying.or.kr,"어울림프로그램의 배너, 새창열림",http://www.stopbullying.or.kr/mest_data
계원예술고등학교,경기,www.sn1388.or.kr,"성남시청소년상담복지센터의 배너, 새창열림",http://www.sn1388.or.kr
계원예술고등학교,경기,www.goesn.kr,"성남 학교급식 투명사회 협약의 배너, 새창열림",http://www.goesn.kr/main_sub/sub_page.php?id=118&amp;tb=D11_lunch&amp;sca=&amp;sfl=&amp;stx=&amp;folder_idx=61&amp;folder_page_idx=505&amp;folder_sub_idx=314
계원예술고등학교,경기,www.mydatasafe.kr,"내정보지킴이 캠페인의 배너, 새창열림",https://www.mydatasafe.kr
계원예술고등학교,경기,www.gbuspb.kr,"경기도 어린이·청소년 교통비 지원사업 안내의 배너, 새창열림",https://www.gbuspb.kr
고덕초등학교,경기,www.goedu.kr,교육용클라우드지원시스템_팝업이미지(변경).jpeg,https://www.goedu.kr/bbs/2/view/55
고덕초등학교,경기,read365.edunet.net,디_우리학교 도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=고덕초등학교&amp;provCode=J10&amp;neisCode=J100004013
고산별빛초등학교,경기,www.goegh.kr,회원가입,https://www.goegh.kr/gsstar-e/sb/sbscrb/insertSbscrbInfo01.do
고산하늘초등학교,경기,www.goegh.kr,회원가입,https://www.goegh.kr/gssky-e/sb/sbscrb/insertSbscrbInfo01.do
고삼초등학교,경기,www.goean.kr,회원가입,https://www.goean.kr/gosam-e/sb/sbscrb/insertSbscrbInfo01.do
고암초등학교,경기,www.ekape.or.kr,축산물원패스,https://www.ekape.or.kr/kapecp/ui/kapecp/fastLogin.jsp?loginType=02
고암초등학교,경기,www.goedu.kr,교육용 클라우드지원시스템 이용 안내,https://www.goedu.kr/bbs/2/list
고암초등학교,경기,kcgp.or.kr,청소년 도박문제.jpg,https://kcgp.or.kr/pp/youthGamble/2/youthSOSList.do
고암초등학교,경기,www.goedy.kr,_학교 급식 조리실무사 신규 채용 홍보.jpg,https://www.goedy.kr/goedy/na/ntt/selectNttList.do?mi=11726&amp;bbsId=11025
고암초등학교,경기,www.army.mil.kr,경기도교육청 감사관_붙임_1_유가족찾기 배너 1.jpg,https://www.army.mil.kr/e_book/mp/Family.pdf
고양국제고등학교,경기,ggg.riroschool.kr,학교 방문 예약,https://ggg.riroschool.kr/
고양국제고등학교,경기,read365.edunet.net,우리학교 도서관 도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B3%A0%EC%96%91%EA%B5%AD%EC%A0%9C%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&provCode=J10&neisCode=J100006561
고양국제고등학교,경기,labec.edublogs.org,국제교류활동1,http://labec.edublogs.org/
고양국제고등학교,경기,carmen1007.edublogs.org,국제교류활동2,http://carmen1007.edublogs.org
고양국제고등학교,경기,bit.ly,학교폭력제로 댄스 챌린지,http://bit.ly/학교폭력제로챌린지
고양국제고등학교,경기,www.army.mil.kr,유가족찾기,https://www.army.mil.kr/e_book/mp/Family.pdf
고양국제고등학교,경기,cuz.schoolkeepa.or.kr,교육환경정보시스템,https://cuz.schoolkeepa.or.kr
고양국제고등학교,경기,onschool.edunet.net,학교온(On) 온라인 학급방 통합 지원 사이트,http://onschool.edunet.net
고양국제고등학교,경기,goo.gl,노란리본의 달 행사 [0416 우체통] 추모글 남기기,https://goo.gl/ebrqzW
고양국제고등학교,경기,schoolhealth.kr,생명 존중 교육 자료,http://schoolhealth.kr
고양국제고등학교,경기,www.youthlabor.co.kr,청소년근로권익센터,http://www.youthlabor.co.kr
고양국제고등학교,경기,me2.do,교육부 교복공동구매,http://me2.do/xlnrYGer
고양국제고등학교,경기,www.kdream.or.kr,꿈드림 홈페이지,http://www.kdream.or.kr
고양국제고등학교,경기,www.stopbullying.or.kr,학교폭력예방종합포털,http://www.stopbullying.or.kr
고양국제고등학교,경기,www.unesco.or.kr,,http://www.unesco.or.kr/
고양국제고등학교,경기,ggg.dkyobobook.co.kr,고양국제고등학교 전자도서관,http://ggg.dkyobobook.co.kr/
