계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024030413111,기술용역,디지털 온 선도학교 AI 코스웨어 물품 지원 용역,2024-03-21,37600000,경상북도고령교육청 고령초등학교,고령초등학교,8921018,초등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240312C89_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,학교기업 홍보연구소
2024030414381,기술용역,2024학년도 코딩 프로그램 용역,2024-03-20,18900000,인천광역시교육청 인천외국어고등학교,인천외국어고등학교,7310242,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240312E19_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 로보그램인공지능로봇연구소
2024030419877,기술용역,2024학년도 영훈초등학교 AI미래교실 운영 위탁용역,2024-03-26,76500000,서울특별시교육청 서울특별시성북교육지원청 영훈초등학교,영훈초등학교,7121339,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240313140_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,즐거운학교 주식회사
2024030421360,기술용역,2024학년도 신나는 AI교실 교구 지원 프로그램 용역,2024-03-21,14895000,서울특별시동부교육청 서울답십리초등학교,서울답십리초등학교,7021083,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240313427_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)와이즈교육
2024030422148,기술용역,(학생미래역량강화프로그램) 한빛누리중학교 AI 코딩교육,2024-03-21,1100000,경기도동두천교육청 보영여자중학교,보영여자중학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240313625_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 로보그램인공지능로봇연구소
2024030422169,기술용역,2024학년도 방과후학교 운영관리 플랫폼 사용 계약,2024-03-01,792000,서울특별시서부교육청 서울용강초등학교,서울용강초등학교,7031155,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024031364C_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,로데브(주)
2024030423075,기술용역,2024학년도 부곡중앙초 SW AI 융합 교육 운영,2024-03-18,17980000,경기도교육청 경기도군포의왕교육지원청 부곡중앙초등학교,부곡중앙초등학교,7642121,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403138CB_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,플레이코딩유한책임회사
2024030423493,기술용역,2024학년도 SWAI분야 교과용 인정도서(수치해석의 기초) 개발 용역,2024-03-21,35000000,인천광역시교육청 인천과학고등학교,인천과학고등학교,7310058,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403139A2_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)서울교과서
2024030452032,기술용역,[용곡초] SW교육 프로그램 위탁 운영,2024-03-25,12601000,서울특별시성동교육청 서울용곡초등학교,서울용곡초등학교,7134105,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024031450C_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 대교에듀캠프
2024030456595,기술용역,맞춤형 AI 수학 학습 플랫폼 매쓰홀릭T 프로그램 구독,2024-03-20,17184000,경상북도영주교육청 영광중학교,영광중학교,8811064,중학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314938_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,테크빌교육(주)
