계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL,태그
R25TE01469926,기술용역,2025학년도 신장초 스마트공지시스템 e알리미서비스 용역,2025-02-28,1980000,경기도광주교육청 신장초등학교,신장초등학교,주식회사 이웃닷컴,7692027,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00212954&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01470363,기술용역,2025학년도 대평초등학교 방과후코디마스터 프로그램 이용,2025-02-25,1056000,세종특별자치시교육청 대평초등학교,대평초등학교,로데브(주),9300231,초등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00202666&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01470413,기술용역,2025학년도 정보화기자재 유지보수 용역 계약,2025-02-26,5478000,경기도교육청 경기도의정부교육지원청 의정부중학교,의정부중학교,(주)두레시스템,7561010,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00135733&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01471127,기술용역,2025학년도 e알리미 사용 계약 ,2025-02-26,1980000,경기도교육청 경기도화성오산교육지원청 대양초등학교,대양초등학교,주식회사 이웃닷컴,7679380,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00044752&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01471482,기술용역,2025학년도 곡반초 방과후학교 코디마스터 서비스 이용 계약,2025-02-26,1050720,경기도수원교육청 곡반초등학교,곡반초등학교,로데브(주),7541068,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00207464&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01471949,기술용역,소명여자고등학교 2025학년도 리로스쿨(문자서비스) 용역,2025-02-28,4356000,경기도교육청 소명여자고등학교,소명여자고등학교,주식회사 리로소프트,7530170,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00227398&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,리로스쿨
R25TE01472108,기술용역,2025학년도 한홀초 e알리미서비스 용역,2025-02-26,2376000,경기도교육청 경기도광주하남교육지원청 한홀초등학교,한홀초등학교,주식회사 이웃닷컴,7692156,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00227362&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01472585,기술용역,2025학년도 지산고 리로스쿨 이용 계약 ,2025-02-27,3960000,경기도교육청 지산고등학교,지산고등학교,주식회사 리로소프트,7531248,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00195945&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,리로스쿨
R25TE01472858,기술용역,세류중 2025학년 학내전산망 및 정보화기자재 유지보수 계약,2025-02-26,1980000,경기도교육청 경기도수원교육청 세류중학교,세류중학교,주식회사 신흥솔루션,7541010,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00218631&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01473484,기술용역,평일초등학교 2025학년도 e알리미 용역 계약,2025-02-26,1188000,경기도평택교육청 평일초등학교,평일초등학교,주식회사 이웃닷컴,7631056,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00215997&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01473519,기술용역,2025학년도 광명중학교 스마트 공지시스템 이알리미 서비스 계약,2025-02-28,1584000,경기도교육청 경기도광명교육지원청 광명중학교,광명중학교,주식회사 이웃닷컴,7591006,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00227903&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,SW·플랫폼(제품명 미상)
R25TE01473520,기술용역,2025학년도 e알리미(모바일가정통신문) 용역 계약,2025-02-26,1188000,인천광역시교육청 인천광역시동부교육청 인천논현초등학교,인천논현초등학교,주식회사 이웃닷컴,7341020,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00198053&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01473532,기술용역,2025학년도 나곡중학교 e알리미 사용 용역 계약,2025-02-26,1584000,경기도용인교육청 나곡중학교,나곡중학교,주식회사 이웃닷컴,7751021,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00221453&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01473922,기술용역,2025학년도 방과후학교 운영관리 플랫폼 코디마스터 라이선스 사용 계약,2025-02-26,778800,인천광역시교육청 인천광역시동부교육청 인천논현초등학교,인천논현초등학교,로데브(주),7341020,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00198228&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01474152,기술용역,2025학년도 판교고 e알리미 사용 계약,2025-02-24,1188000,경기도교육청 판교고등학교,판교고등학교,주식회사 이웃닷컴,7531255,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00198420&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01474318,기술용역,2025학년도 신현중학교 e알리미 서비스 이용계약,2025-02-26,1980000,경기도교육청 경기도광주하남교육지원청 신현중학교,신현중학교,주식회사 이웃닷컴,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00173906&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01474793,기술용역,2025학년도 강화여고 공지시스템 e알리미 사용 계약,2025-02-26,1188000,인천광역시교육청 강화여자고등학교,강화여자고등학교,주식회사 이웃닷컴,7310201,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00209931&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01475014,기술용역,대륜고등학교 공간조성사업 정보화기기 이전설치용역,2025-01-03,14228000,대구광역시교육청 대륜고등학교,대륜고등학교,원스톱정보통신,7240085,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00228501&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01520395,기술용역,2025학년도 필봉초 e알리미 사용,2025-02-27,1584000,경기도교육청 경기도화성오산교육지원청 필봉초등학교,필봉초등학교,주식회사 이웃닷컴,7679282,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00178063&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
