기관명,계약명,계약일,계약금액,계약상대자,키워드
동평초등학교,2026학년도 AI디지털활용 수업 물품 구입(에듀테크),2026-07-23,1980000,아이티솔루션,에듀테크
현대청운중학교,2026년 AI디지털 활용 선도학교 운영을 위한 에듀테크 링크원 구입,2026-06-16,7355000,아이티존(주),에듀테크
화진초등학교,학생용 에듀테크(디지털 창작 도구) 이용권 구입,2026-05-22,2052000,(주)아이스크림미디어,에듀테크
울산생활과학고등학교,[계약] 2026학년도 AIㆍ디지털 선도학교 교원 에듀테크 프로그램 구매 계약(S2B),2026-05-12,15180000,리프레쉬업,에듀테크
학성중학교,[카드] 2026학년도 에듀테크 활용 수업을 위한 온라인 플랫폼(이음AI) 구입비 지출,2026-05-08,1550000,(주)화이트소프트,에듀테크
내황초등학교,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(패들렛 등 2종),2026-04-29,5176800,테크빌교육(주),에듀테크
내황초등학교,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(젭퀴즈),2026-04-29,2100000,주식회사 젭,에듀테크
대송고등학교,[S2B]2026학년도 고교학점제 운영을 위한 교수학습 활동 에듀테크 도구 구입(패들렛 골,2026-04-28,3576000,원자,에듀테크
현대중학교,2026년 AI·디지털 활용 선도학교 -에듀테크 교육 플랫폼 구입(퀴즈앤 외 1종)(패들렛,2026-04-28,1350000,테크빌교육(티처몰),에듀테크
화진초등학교,선도학교 에듀테크 도구(팅커벨) 구입,2026-04-21,1200000,(주)아이스크림미디어,에듀테크
달천고등학교,2026학년도 정보과 관련 동아리 에듀테크 구입(카드),2026-04-13,1045700,(주)잇플 ITPLE,에듀테크
강동초등학교,[S2B]AI 코스웨어 기반 에듀테크 도구 구입비 지출,2026-02-13,3716000,위드테크,에듀테크
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 및 에듀테크 구입(아트봉봉 그림심리검사),2025-12-02,1449000,주식회사 모노플로우,에듀테크
매산초등학교,[카드]선도학교 운영용 에듀테크 물품 구입,2025-11-26,1197000,(주)아이스크림미디어,에듀테크
현대청운중학교,2025년 디지털 선도학교 운영을 위한 에듀테크 구입 신청,2025-10-28,1166000,아이티존(주),에듀테크
현대고등학교,[구입] 2025학년도 에듀테크(마이클) 구입 대금 지급,2025-10-27,1550000,테크빌교육(주),에듀테크
울산양정초등학교,"[카드(S2B), 12] 2025학년도 공간재구조화 사업 학생 참여형 에듀테크 프로그램 구",2025-10-27,2550000,올댓스쿨 주식회사,에듀테크
주전초등학교,디지털기반 학생 맞춤교육을 위한 에듀테크 구입,2025-09-18,2394000,주식회사 모노플로우,에듀테크
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 활용 에듀테크 구입,2025-09-18,2043000,테크빌교육(주),에듀테크
약사가온유치원,유아용 에듀테크 프로그램 구독권 학교장터 구입비,2025-09-02,1044900,(주)에디온,에듀테크
대현고등학교,[법인카드]교수-학습활동 자료 개발을 위한 에듀테크(인공지능 프로그램) 사용권 구입(Cha,2025-07-16,1629600,주식회사 교육의정석,에듀테크
울산양정초등학교,"[카드(S2B), 27] 2025학년도 디지털 선도학교 교원 에듀테크(챗gpt) 구입비 지",2025-07-04,1783500,스트로베리필즈,에듀테크
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 수업지원 에듀테크 구입(ZEP 퀴즈),2025-06-17,1200000,주식회사 ZEP,에듀테크
연암중학교,2025학년도 AI코스웨어 및 에듀테크 활용 수업 프로그램 구입,2025-05-21,2932800,S2B(학교장터 선결제),에듀테크
호계초등학교,2025학년도 코스웨어 및 에듀테크 구입,2025-05-16,11562000,나이스쿨,에듀테크
내황초등학교,디지털 선도학교 운영을 위한 에듀테크 구입(S2B),2025-05-12,2730000,(주)에듀에이드,에듀테크
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 AI웹툰 제작 에듀테크 구입비 지급,2025-05-12,1000000,주식회사 툰스퀘어,에듀테크
달천고등학교,2025학년도 영어과 에듀테크 학습 프로그램 구입(카드),2025-05-07,1200000,주식회사 클래스카드,에듀테크
여천초등학교,[카드]이음뜰학교 운영을 위한 에듀테크 구입비 지출,2025-05-07,1107000,(주)아이스크림미디어,에듀테크
현대중학교,2025학년도 2학년 창의적체험활동(자율활동) 에듀테크 활용 수업 강사료 지급,2025-02-14,8960000,(주)와이즈교육,에듀테크
구영중학교,2024학년도 질문하는 수업 소프트웨어(에듀테크)(챗GPT) 구입,2024-09-19,1196000,주식회사 모노플로우,에듀테크
신정고등학교,2024년 디지털 선도학교 에듀테크 구입,2024-06-12,1188000,(주)피디에프오션,에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-22,1457000,현대교재사,에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 추가 구입,2024-05-16,2845000,"(주)이베이코리아(지마켓,옥션)",에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-16,1558000,(주)로보메이션,에듀테크
고헌중학교,2024학년도 에듀테크 수업도구 구입,2024-05-01,1180080,(주)미리디,에듀테크
삼정초등학교,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입(이동공구상자),2024-04-29,1540000,승민테크,에듀테크
삼정초등학교,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입,2024-04-29,3499950,"(주)이베이코리아(지마켓,옥션)",에듀테크
삼정초등학교,에듀테크 활용 수업에 필요한 크롬북 구입,2024-04-15,1420000,주식회사 에스인,에듀테크
명촌초등학교,2024학년도 디지털 선도학교 에듀테크 매쓰홀릭 프로그램 구입,2024-04-15,10692000,테크빌교육(주),에듀테크
현대고등학교,2024년 에듀테크(패들렛) 구입비 지급(학교카드),2024-04-11,1068128,PADLET* PADLET SOFTWAR,에듀테크
울산외국어고등학교,2024학년도 에듀테크활용 수업을 위한 도구(소프트웨어) 구입비 지출,2024-04-03,1019160,(주)미리디,에듀테크
현대중학교,2024학년도 2학년 자율활동 에듀테크 활용 수업 강사료 지급,2024-03-04,9205000,(주)와이즈교육,에듀테크
방어진초등학교,2023. 창의인성교육 및 놀이활동을 위한 에듀테크 기자재 구입,2024-02-28,9584000,나라장터(조달청),에듀테크
울산중앙초등학교,2023. 에듀테크 기반 진로체험Day 운영,2023-11-16,4862000,STEAM교육컨텐츠연구소,에듀테크
울산과학고등학교,(카드)(창의재단내실화)2023 에듀테크 활용교육 SW AI 재료 구입비 지출,2023-11-13,1320000,생물나라,에듀테크
천곡중학교,에듀테크 활용 공모전 및 전시회 상품 구입비 지출[카드],2023-10-31,1418430,(주)판촉사랑,에듀테크
울산외국어고등학교,2023. 미래형 교실수업개선 에듀테크 활용 행사 물품구입비 지출,2023-05-14,1127000,(주)신세계 센텀시티점,에듀테크
방어진초등학교,2023학년도 정책연구학교 에듀테크 기자재 구입,2023-04-04,6935390,나라장터(조달청),에듀테크
태화초등학교,교실수업개선 연구학교 에듀테크 구입,2023-04-03,2000000,주식회사 클래스팅,에듀테크
성신고등학교,2022 에듀테크 선도고교 메이커룸 환경개선 격벽 설치비 지급,2023-01-31,2608760,(주)경진건설,에듀테크
성신고등학교,2022 에듀테크 선도고교 스마트 교실 IOT 물품 구입비 지급(4621),2023-01-05,1143970,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 실외 디지털 게시판 조달구입비 지급,2022-12-01,22118800,주식회사 에이치앤티(구 하람),에듀테크
성신고등학교,2022 에듀테크 선도고교 인공지능 IOT 물품 구입비 지급(4621),2022-11-24,1384500,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 성신고등학교 메타버스 제작 및 활용 비용 지급,2022-11-15,13500000,샌키스트,에듀테크
성신고등학교,2022 에듀테크 선도고교 디지털교과서 제작 및 활용 프로그램 구입비 지급,2022-10-24,5610000,키키소프트,에듀테크
성신고등학교,2022 에듀테크 선도고교 및 교과 특성화 기념품비 지출(4621),2022-09-30,2499900,우아한이웃(아린기프트),에듀테크
성신고등학교,2022 에듀테크 선도고교 교원 역량 강화 연수 운영비 지급(4621),2022-07-11,1170300,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 교원 역량 강화 연수 운영비 지급(4621),2022-07-05,1063400,은하도예공방,에듀테크
삼신초등학교,취약계층 학생 에듀테크 지원사업 학습 콘텐츠 이용료 지급,2021-11-24,1185000,(주)아이스크림에듀,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(노트북) 지급,2021-11-09,24983160,PC와 프린터,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(칠판) 지급(4621),2021-11-04,3336000,지아이엘,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(플립 및 TV) 지급(4621),2021-10-28,21310620,11번가,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(노트북 보관함 ) 지급(4621),2021-10-28,2190000,우리학교,에듀테크
성신고등학교,"2021년 에듀테크 선도고교 에듀테크 센터 비품비(책상,의자) 지급(4621)",2021-09-09,18540000,오피스올(Office-All),에듀테크
성신고등학교,2021년 에듀테크 선도고교 에듀테크 센터 비품(6인용우레탄 타원용책상)비 지급(4621),2021-09-09,1258000,바이비즈(BY BIZ),에듀테크
성신고등학교,2021년 에듀테크센터(승학관) 무선네트워크 공사 준공금 지급,2021-08-12,2750000,주식회사컴넷,에듀테크
성신고등학교,2021년 에듀테크센터(승학관) 무선네트워크 환경 구성을 위한 기자재 구입비 지출,2021-08-03,8117000,주식회사 랜오아시스,에듀테크
성신고등학교,「성신 에듀테크 센터」운영을 위한 승학관 교실 환경개선 사업 준공금 지급,2021-08-02,11000000,주식회사미래디자인,에듀테크
성신고등학교,에듀테크 선도고교 VR카메라 구입비 지급(4621),2021-06-08,1098000,주식회사씨와이컴퍼니,에듀테크
성신고등학교,2021학년도 에듀테크 선도고교 홍보물품 제작비 지급,2021-06-02,2986400,부산기념품상사,에듀테크
성신고등학교,에듀테크 선도고교 나스 서버 구입비 지급(4621),2021-05-25,4783000,컴퓨존,에듀테크
성신고등학교,2021년 에듀테크 선도고교 고프로 및 데스크탑 구입(4621),2021-04-23,6681640,11번가,에듀테크
성신고등학교,에듀테크 선도고교 VR기기 구입비 지급,2021-04-05,19008000,부산지방조달청,에듀테크
화암고등학교,2020 고교학점제 에듀테크 활용 관련 물품(크롬북) 구입,2020-12-18,4680000,월드램프,에듀테크
삼정초등학교,AI디지털 활용 선도학교 AI코스웨어 활용 교육 운영 물품 구입,2026-07-09,1179200,주식회사 지오코리아,코스웨어
대현중학교,2026학년도 AI디지털 활용 선도학교 운영을 위한 코스웨어 구입,2026-07-02,5000000,주식회사 씨티,코스웨어
대현중학교,2026학년도 자기주도 영어독서 프로그램 운영 코스웨어 구입 건의,2026-06-30,2800000,(주)신지식교육,코스웨어
신천초등학교,책임학년제 인공지능 코스웨어 프로그램 구입(5학년),2026-06-26,2304000,아이스크림몰,코스웨어
다운초등학교,2026학년도 AI 코스웨어 활용 학습지원 프로그램 운영 코스웨어(키위티) 구입,2026-06-17,1500000,(주)투블럭에이아이,코스웨어
매산초등학교,[S2B카드]AI코스웨어 활용 맞춤형 학습지원 프로그램 운영 물품 구입,2026-06-16,1872000,(주)매쓰마스터,코스웨어
삼산초등학교,2026학년도 인공지능(AI) 코스웨어 학습지원 프로그램 2차 구입비 지급,2026-06-16,1490400,주식회사 디엔소프트,코스웨어
농소초등학교,2026학년도 책임교육학년제 AI 코스웨어 구입,2026-06-11,2100000,(주)씨티,코스웨어
울산양정초등학교,2026학년도 AI 코스웨어 활용 맞춤형 학습지원 프로그램 구입,2026-06-11,2448600,주식회사 에누마코리아,코스웨어
삼산초등학교,2026학년도 영어교과 인공지능(AI) 코스웨어 학습지원 프로그램 구입비 지급,2026-06-11,3864000,테크빌교육(주),코스웨어
청솔초등학교,인공지능 코스웨어 학습지원 프로그램 및 운영물품 구입,2026-06-10,2000000,테크빌교육(주),코스웨어
이화중학교,[디지털] AI코스웨어 구입(2차),2026-06-10,3864000,(주)웅진씽크빅,코스웨어
호계초등학교,3학년 책임학년제 AI코스웨어 활용 맞춤형 학습지원 프로그램 구입,2026-06-01,2560000,(주)아이스크림미디어,코스웨어
내황초등학교,2026. AI 코스웨어 학습지원 프로그램 코스웨어 구입,2026-06-01,2166000,주식회사 아이포트폴리오,코스웨어
월평초등학교,영어교과 AI 코스웨어 구입(알공영어) (S2B),2026-06-01,2154000,주식회사 디엔소프트,코스웨어
청량초등학교,AI 코스웨어 프로그램 사용료 지급,2026-05-28,3007800,주식회사 디엔소프트,코스웨어
용연초등학교,2026. 인공지능(AI) 코스웨어 학습지원 프로그램 구입,2026-05-28,4401000,주식회사 디엔소프트,코스웨어
다운중학교,2026학년도 AI·디지털 활용 선도학교 및 책임교육학년제 AI 코스웨어(수학) 프로그램 구입,2026-05-28,5002800,마타에듀,코스웨어
문수중학교,2026. 책임학년제 인공지능(AI) 코스웨어 수학과 프로그램 구입,2026-05-27,3100000,(주)프리윌린,코스웨어
대현초등학교,인공지능(AI) 코스웨어 학습지원 소프트웨어 구입,2026-05-27,2592000,(주)씨티,코스웨어
학성중학교,[카드]선도학교 운영을 위한 AI코스웨어(매쓰홀릭) 구입,2026-05-22,1900000,테크빌교육(주),코스웨어
두왕초등학교,[S2B]2026학년도 인공지능(AI) 코스웨어 학습지원 프로그램 이용권 구입(토도수학),2026-05-22,2552000,주식회사 에누마코리아,코스웨어
다운초등학교,작은학교 교육과정 운영 코스웨어(아트봉봉 디지털 드로잉) 구입,2026-05-22,1704000,위드플러스,코스웨어
일산초등학교,2026학년도 책임교육학년제 인공지능(AI) 코스웨어 학습지원 프로그램 구입 대금 지급,2026-05-21,1590000,The-K한국교직원공제회 S2B,코스웨어
무거초등학교,(S2B)책임교육학년제 AI 코스웨어 프로그램 구입(알공 수학),2026-05-21,3115000,주식회사 디엔소프트,코스웨어
이화중학교,[디지털] AI코스웨어 구입비 지급,2026-05-20,2415000,웅진씽크빅,코스웨어
서생초등학교,영어교과 AI코스웨어 프로그램 구입비 지급,2026-05-19,2670000,주식회사 디엔소프트,코스웨어
문수초등학교,2026학년도 인공지능(AI) 코스웨어 구매(알공 영어),2026-05-15,1386000,주식회사 디엔소프트,코스웨어
내황초등학교,2026. AI 코스웨어 학습지원 프로그램 코스웨어 구입,2026-05-15,2610000,(주)씨티,코스웨어
울산생활과학고등학교,2026학년도 AIㆍ디지털 선도학교 학생 AI 학습 보조 코스웨어 프로그램 구매,2026-05-15,1500000,주식회사 슬링,코스웨어
울산남부초등학교,2026학년도 AI 코스웨어 활용 학습지원 프로그램 운영 물품 구입비 지급,2026-05-15,1841860,(주)교보문고,코스웨어
울산생활과학고등학교,2026학년도 AIㆍ디지털 선도학교 학생 AI 영어 코스웨어 프로그램 구매(S2B),2026-05-14,3000000,(주)신지식교육,코스웨어
명촌초등학교,2026학년도 책임교육학년제 인공지능(AI) 코스웨어 활용 학습지원 프로그램 구입,2026-05-13,1863000,주식회사 디엔소프트,코스웨어
내황초등학교,2026 AI디지털 선도학교 운영을 위한 코스웨어 구입,2026-05-06,7775600,(주)씨티,코스웨어
언양고등학교,2026. AI 및 디지털 활용 선도학교 연계 교과별 AI 코스웨어 구매(키위티),2026-04-29,1200000,(주)투블럭에이아이,코스웨어
내황초등학교,2026 AI디지털 선도학교 운영을 위한 코스웨어 구입,2026-04-28,1500000,(주)아이스크림미디어,코스웨어
화봉중학교,AI디지털 선도학교 운영 코스웨어 구입(S2B),2026-04-27,17940000,아이티존(주),코스웨어
언양고등학교,2026. AI 및 디지털 활용 선도학교 연계 교과별 AI 코스웨어 구매 (마타수학),2026-04-27,2000000,마타에듀 주식회사,코스웨어
현대고등학교,온·오프라인 영어도서관 구축을 위한 AI 코스웨어 구입,2026-04-24,15000000,(주)신지식교육,코스웨어
삼정초등학교,AI디지털 활용 선도학교 국어교과 AI코스웨어 구입,2026-04-24,1200000,(주)투블럭에이아이,코스웨어
삼정초등학교,AI디지털 활용 선도학교 영어교과 AI코스웨어 구입,2026-04-24,4914000,테크빌교육(주),코스웨어
삼정초등학교,AI디지털 활용 선도학교 실과교과(정보) AI코스웨어 구입,2026-04-24,3080000,(주)엘리스그룹,코스웨어
삼정초등학교,AI디지털 활용 선도학교 수학교과 AI코스웨어 구입,2026-04-24,5000000,테크빌교육(주),코스웨어
언양고등학교,2026. AI 및 디지털 활용 선도학교 연계 교과별 AI 코스웨어 구매(리드포스쿨),2026-04-24,3000000,주식회사 비주얼캠프,코스웨어
현대중학교,2026년 AI·디지털 활용 선도학교 -AI코스웨어 구입(테크빌교육),2026-04-17,5000000,테크빌교육(티처몰),코스웨어
척과초등학교,2026학년도 AI·디지털 활용 선도학교 운영 AI 코스웨어 구입(달달독해&달달수학),2026-04-13,2925000,올댓스쿨 주식회사,코스웨어
농소중학교,"2026학년도 수학, 영어 AI 코스웨어 구입(영어)",2026-04-09,2970000,주식회사 제로엑스플로우,코스웨어
이화중학교,"[카드][디지털]AI코스웨어(국어,영어,그림심리검사) 구입비 지급",2026-04-01,6093000,주식회사 제로엑스플로우,코스웨어
이화중학교,"[디지털] AI코스웨어(클래스팅 AI 수학, 과학, 사회) 구입",2026-04-01,7700000,주식회사 씨티,코스웨어
농소중학교,2026학년도 수학 AI 코스웨어 구입,2026-03-05,10000000,(주)프리윌린,코스웨어
대현중학교,2025년 디지털 기반 학생 맞춤 교육 선도학교 운영 지원 코스웨어 구입(클래스팅 AI 패,2025-12-10,4088000,주식회사 씨티,코스웨어
현대청운중학교,2025년 디지털 기반 학생 맞춤교육 선도학교 운영을 위한 영어 코스웨어 구입 신청,2025-11-28,2784000,테크빌교육(주),코스웨어
천곡중학교,2025. 책임교육학년제 인공지능(AI) 코스웨어 활용 학습지원 프로그램 구입,2025-11-20,2166000,아이티존(주),코스웨어
현대고등학교,[구입] 2025학년도 AI 코스웨어(바이브온) 구입비 지급,2025-11-05,2211000,주식회사 바이브온코퍼레이션,코스웨어
상안초등학교,2025. 2학기 인공지능(AI) 코스웨어 활용 학습지원 프로그램 운영을 위한 물품 구입(,2025-10-02,1911000,테크빌교육(주),코스웨어
서생초등학교,[S2B] 2025. 인공지능(AI) 코스웨어 운영에 필요한 프로그램 구입비 지급,2025-10-02,1300000,주식회사 씨티,코스웨어
매산초등학교,[S2B]선도학교 운영용 코스웨어 구입,2025-09-22,8198000,주식회사 디엔소프트,코스웨어
주전초등학교,(학교장터)디지털기반 학생 맞춤교육을 위한 AI코스웨어 구입(3~4학년),2025-09-18,5865000,(주)아이스크림에듀,코스웨어
옥서초등학교,(학교장터)2025학년도 책임교육학년 2학기 AI코스웨어 구입,2025-09-12,1560000,주식회사 디엔소프트,코스웨어
주전초등학교,(학교장터)디지털기반 학생 맞춤교육을 위한 AI코스웨어 구입(5~6학년),2025-09-10,3060000,(주) 천재교과서,코스웨어
약수초등학교,(S2B)2025년 디지털 기반 학생 맞춤교육 선도학교 코스웨어도구 구입비 지급(2차)(매,2025-09-08,1700000,테크빌교육(주),코스웨어
서생초등학교,[S2B] 2025. 책임교육학년제 인공지능(AI) 코스웨어 프로그램 구입비 지급,2025-09-05,2100000,(주)프리윌린,코스웨어
화진중학교,인공지능교수학습플랫폼 운영 관련 AI코스웨어 투닝 구입비 지급,2025-09-03,1416250,툰스퀘어 주식회사,코스웨어
동평중학교,2025 인공지능(AI) 코스웨어 활용 학습지원 프로그램 구입비 지출,2025-09-01,5100000,주식회사 팀모노리스,코스웨어
현대중학교,2025년 디지털 기반 학생 맞춤교육 선도학교-AI코스웨어 구입(수학대왕),2025-08-29,4400000,(주)튜링,코스웨어
화진중학교,[카드]2025학년도 인공지능(AI) 코스웨어 활용 교육 프로그램 운영비 지급,2025-08-28,1792500,한국교직원공제회 S2B 수수료,코스웨어
주전초등학교,디지털 기반 학생 맞춤교육을 위한 AI코스웨어(클래스팅) 구입,2025-07-24,1749000,주식회사 씨티,코스웨어
온남초등학교,(카드)2025. AI 코스웨어 활용 맞춤형 학습지원을 위한 AI 코스웨어 구입 지출(2차,2025-07-07,2340000,주식회사 에누마코리아,코스웨어
울산양정초등학교,2025학년도 디지털 선도학교 운영을 위한 AI 코스웨어 구입(S2B),2025-06-30,6510000,테크빌교육(주),코스웨어
울산양정초등학교,2025학년도 디지털 선도학교 운영을 위한 AI 코스웨어 구입(S2B),2025-06-26,6490000,(주)엘리스그룹,코스웨어
농소초등학교,2025년 디지털 기반 학생 맞춤교육 선도학교 영어 AI 코스웨어 구입,2025-06-24,6670000,주식회사 디엔소프트,코스웨어
농소초등학교,2025년 디지털 기반 학생 맞춤교육 선도학교 수학 AI 코스웨어 구입 계약,2025-06-24,9990000,주식회사 한국교육네트워크,코스웨어
문수중학교,2025. 책임학년교육제 수학과 인공지능(AI) 코스웨어 구입,2025-06-16,3000000,(주)프리윌린,코스웨어
농소중학교,2025년 디지털 기반 학생 맞춤교육 선도학교 운영을 위한 코스웨어 구입(수학),2025-06-11,6150000,마타에듀 주식회사,코스웨어
울산양정초등학교,2025학년도 AI 코스웨어 활용 맞춤형 학습지원 프로그램 구입비 지출,2025-06-10,2450000,주식회사 에누마코리아,코스웨어
대현중학교,[S2B]2025년 디지털 기반 학생 맞춤 교육 선도학교 운영 지원 코스웨어 구입,2025-06-10,8712000,주식회사 씨티,코스웨어
다운초등학교,2025학년도 AI 코스웨어 활용 학습지원 프로그램 운영 코스웨어 구입(AI 국어 학습 튜,2025-06-05,2016000,주식회사 아티피셜 소사이어티,코스웨어
화진중학교,[카드]2025학년도 인공지능(AI) 코스웨어 프로그램(2차) 구입비 지출,2025-06-04,1110000,한국교직원공제회 S2B 수수료,코스웨어
약수초등학교,(S2B)2025년 디지털 기반 학생 맞춤교육 선도학교 코스웨어도구 프로그램 구입비 지급,2025-06-04,1296000,주식회사 디엔소프트,코스웨어
범서초등학교,2025학년도 책임교육학년제 AI코스웨어 활용 맞춤형 학습지원 프로그램 구입 건의,2025-06-01,1386000,(주)프리윌린,코스웨어
화진중학교,[카드]2025년 인공지능(AI) 교수학습 플랫폼 권역별 중심학교 AI코스웨어 및 태블릿,2025-05-29,3134900,한국교직원공제회 S2B 수수료,코스웨어
방어진초등학교,2025. AI 코스웨어 활용 맞춤형 학습지원 프로그램 구입,2025-05-27,1901600,스트로베리필즈,코스웨어
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 구입(아트봉봉),2025-05-27,3318000,주식회사 모노플로우,코스웨어
명정초등학교,[S2B] 2025. 책임교육학년제 인공지능(AI) 코스웨어 활용 학습지원 프로그램 코스웨,2025-05-26,3744000,주식회사 디엔소프트,코스웨어
내황초등학교,2025학년도 학습지원을 위한 인공지능 코스웨어 구입(S2B),2025-05-23,2200000,주식회사 비주얼캠프,코스웨어
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 구입(매쓰홀릭T),2025-05-23,3557400,테크빌교육(주),코스웨어
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 구입(AI 마음일기),2025-05-23,1260000,엘위드,코스웨어
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 구입(키위T),2025-05-22,2500000,(주)투블럭에이아이,코스웨어
방어진초등학교,2025. AI 코스웨어 활용 맞춤형 학습지원 프로그램 구입(알공 영어),2025-05-20,1032000,주식회사 디엔소프트,코스웨어
현대청운중학교,2025년 디지털 선도학교 운영을 위한 AI 코스웨어 구입 - 영어,2025-05-19,3960000,주식회사 제로엑스플로우,코스웨어
현대청운중학교,2025년 디지털 선도학교 운영을 위한 AI 코스웨어 구입 - 수학,2025-05-19,6000000,마타에듀 주식회사,코스웨어
두왕초등학교,2025학년도 인공지능(AI) 코스웨어 이용권(토도수학) 구입,2025-05-16,2009700,주식회사 에누마코리아,코스웨어
화봉중학교,2025. 책임교육학년제 AI코스웨어(영어과) 구입,2025-05-16,1600000,주식회사 제로엑스플로우,코스웨어
화봉중학교,2025. 책임교육학년제 AI코스웨어(수학과) 구입,2025-05-16,1518000,마타에듀 주식회사,코스웨어
언양고등학교,2025. 디지털 기반 맞춤교육 선도학교 연계 교과별 AI 코스웨어 구입(마타수학),2025-05-16,3000000,마타에듀 주식회사,코스웨어
언양고등학교,2025. 디지털 기반 맞춤교육 선도학교 연계 교과별 AI 코스웨어 구입(원아워),2025-05-16,3000000,주식회사 제로엑스플로우,코스웨어
언양고등학교,2025. 디지털 기반 맞춤교육 선도학교 연계 교과별 AI 코스웨어 구입(키위티),2025-05-16,1180000,(주)투블럭에이아이,코스웨어
언양고등학교,2025. 디지털 기반 맞춤교육 선도학교 연계 교과별 AI 코스웨어 구입(리드),2025-05-16,2500000,주식회사 비주얼캠프,코스웨어
두왕초등학교,2025학년도 인공지능(AI) 코스웨어 이용권 구입(스쿨플랫),2025-05-16,1990000,(주)프리월린,코스웨어
청량초등학교,AI코스웨어 프로그램 사용료 지급,2025-05-15,2640000,마타에듀 주식회사,코스웨어
내황초등학교,2025학년도 디지털 선도학교 운영을 위한 코스웨어(영어) 구입(S2B),2025-05-08,2310000,(주)커넥트에듀,코스웨어
내황초등학교,2025학년도 디지털 선도학교 운영을 위한 코스웨어(국어) 구입(S2B),2025-05-08,2770000,주식회사 비주얼캠프,코스웨어
내황초등학교,2025학년도 디지털 선도학교 운영을 위한 코스웨어(수학) 구입(S2B),2025-05-08,9000000,마타에듀 주식회사,코스웨어
남외중학교,디지털 기반 학생 맞춤교육 관련 코스웨어 구입(영어),2025-05-08,7000000,주식회사 제로엑스플로우,코스웨어
남외중학교,"디지털 기반 학생 맞춤교육 관련 코스웨어 구입(수학, 과학 등)",2025-05-08,12000000,주식회사 씨티,코스웨어
달천고등학교,2025학년도 정보과 AI 코스웨어 구입(카드),2025-05-02,8250000,(주)엘리스그룹,코스웨어
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 정보 교과 AI코스웨어 구입,2025-04-25,3520000,(주)엘리스그룹,코스웨어
현대고등학교,[구입] 2025학년도 기초학력 제고를 위한 AI 코스웨어 구입비 지급,2025-04-24,2629440,아이헤이트플라잉버그스(주),코스웨어
현대고등학교,[구입] 2025학년도 자기주도 학습 관련 AI 코스웨어 구입비 지급,2025-04-24,7000000,(주)비상교육,코스웨어
현대중학교,2025년 디지털 기반 학생 맞춤교육 선도학교-AI코스웨어 구입(리드포스쿨 외 2종)(제로,2025-04-22,1717500,주식회사 제로엑스플로우,코스웨어
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 영어 교과 AI코스웨어 구입,2025-04-18,4860000,테크빌교육(주),코스웨어
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 수학교과 AI코스웨어 구입,2025-04-14,5761800,테크빌교육(주),코스웨어
신정고등학교,디지털 선도학교 AI코스웨어 및 AIDT 수업활용 물품 구입 -카드,2025-02-05,3781600,이베이코리아 유한책임회사,코스웨어
반천초등학교,2024. 책임교육학년제 AI 코스웨어 활용 학습지원 프로그램 운영비 지출,2025-01-06,1095810,G마켓,코스웨어
학성여자고등학교,윈터 수학 챌린지 운영 계획 및 코스웨어 구독,2025-01-03,3400000,(주)매스프레소,코스웨어
도산초등학교,2024학년도 학년말 AI 코스웨어 구입비 지급(수학 고학년),2024-12-27,1245200,테크빌교육(주),코스웨어
도산초등학교,2024학년도 디지털 선도학교 운영 1월 AI 코스웨어 구입비 지급(수학 고학년),2024-12-26,1188000,테크빌교육(주),코스웨어
성신고등학교,2024년 디지털 선도학교 코스웨어 프로그램 구입비 지급,2024-12-23,2000000,엔스크린,코스웨어
언양초등학교,2024학년도 디지털 선도학교 AI 코스웨어(정보) 구입,2024-11-11,5000000,주식회사 로지브라더스,코스웨어
