기관명,계약명,계약일,계약금액,계약상대자,키워드
범서중학교,"2026학년도 1기 방과후학교 수업(제과제빵반, 로봇 코딩반) 재료 구입",2026-03-24,1029000,곧은아이,코딩
약사가온유치원,4월 특색교육 및 코딩 교재비 구입비,2026-03-20,2765000,바른가치교육,코딩
월평유치원,2026학년도 3월 방과후과정 코딩 교재비 지출,2026-03-10,1860000,청출어람,코딩
언양초등학교,늘봄학교 도담도담 프로그램(첫AI코딩) 운영을 위한 교구 추가 구입,2026-02-26,1210000,(주)미래지식산업연구소,코딩
삼일초등학교,유치원 유아 코딩 로봇 구입,2026-02-26,2673000,리틀브레인,코딩
언양초등학교,늘봄학교 도담도담 프로그램(첫AI코딩) 운영을 위한 교구,2026-02-24,2200000,(주)미래지식산업연구소,코딩
함월초등학교,도담도담 프로그램 코딩블록 구입,2026-02-10,1771000,(주)로보트론,코딩
남산초등학교,2025학년도 유치원 ai 코딩 놀잇감 구입,2026-01-22,1950000,아이들의 세상(ulsan),코딩
상북유치원,2025학년도 방과후과정반 1월 특성화 재료비(창의블럭 및 코딩)지출,2026-01-12,1212000,바른가치,코딩
화정초등학교,"유치원 방과후과정반 교재(코딩,과학,한글,도도수)구입비 지출",2026-01-05,1595000,아이들의세상,코딩
월평유치원,2025학년도 12월 방과후과정 코딩 교재비 지출,2025-12-11,1830000,리틀브레인,코딩
상북유치원,2025학년도 방과후과정반 12월 특성화 재료비(창의블럭 및 코딩)지출,2025-12-10,1212000,바른가치,코딩
상북유치원,2025학년도 방과후과정반 11월 특성화 재료비(창의블럭 및 코딩),2025-12-03,1212000,바른가치,코딩
내황유치원,"2025년 12월~1월 3,4,5세 코딩 교재 구입",2025-11-11,3120000,아이교육,코딩
상북유치원,2025학년도 방과후과정반 10월 특성화 재료비(창의블럭 및 코딩)지출,2025-11-05,1212000,바른가치,코딩
농소초등학교,2025학년도 유치원 방과후과정반 코딩활동 11·12월 행사비 지급,2025-11-04,1176000,아이교육,코딩
내황유치원,"2025년 11월 3,4,5세 코딩 교재 구입",2025-10-28,1560000,아이교육,코딩
언양누리유치원,2025학년도 코딩 교구 구입,2025-10-24,16074000,루덴교육,코딩
고헌유치원,2025. 유초이음-코딩페스티벌 경비 지출,2025-10-23,2000000,청출어람,코딩
