회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,아름중학교,1인수의,물품,[2캠퍼스]2026학년도 학교단체용 및 교사 개인 교육활동 지원 에듀테크 구입_제미나이 프,2026-05-12,2112000,바오스토어,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(김킷 외 1종) 구입,2026-05-11,455000,올아이피정보통신 주식회사,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(워드월) 구입,2026-05-11,174400,로그테크,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(클로드) 구입,2026-05-11,1406000,에듀포트,에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 물품구입(2차_딥엘 번역기),2026-05-11,300000,에듀스쿨(강원),에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(팅커벨) 구입,2026-05-11,300000,(주)아이스크림미디어,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(일프로연산) 구입,2026-05-11,138000,(주)매쓰마스터,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(Zep퀴즈) 구입,2026-05-11,66000,올댓스쿨 주식회사,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(패들렛) 구입,2026-05-11,1422000,행복장터,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(카훗) 구입,2026-05-11,134000,위드현 에듀테크,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(키네마스터) 구입,2026-05-11,138000,주식회사 교육의정석,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(매쓰홀릭 외 1종) 구입,2026-05-11,2635000,테크빌교육(주),에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 물품구입(2차_패들렛),2026-05-08,406000,나이스쿨,에듀테크
2026,한솔중학교,1인수의,물품,AI중점학교 에듀테크 프로그램(패들렛 외) 구독 라이선스 구입,2026-05-06,4298000,S2B(학교장터_선결제),에듀테크
2026,으뜸초등학교,1인수의,물품,카드)2026학년도 으뜸초등학교 학교중점교육(AI·디지털) 에듀테크 구입(4학년),2026-05-06,899000,아이스크림미디어,에듀테크
2026,다정중학교,1인수의,물품,[카드] 2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(카훗 등),2026-05-04,729000,테크빌교육(티처몰),에듀테크
2026,소정초등학교,1인수의,용역,2026년 AI 디지털 활용 선도학교 에듀테크 및 생성형 AI 구입,2026-04-30,10329700,에듀온,에듀테크
2026,어진중학교,1인수의,물품,[카드]AI디지털 활용 선도학교 운영을 위한 에듀테크(ZEP QUIZ),2026-04-29,3150000,주식회사 젭,에듀테크
2026,아름초등학교,1인수의,물품,[카4.28.] 2026년 AI·디지털 활용 선도학교 운영 소프트웨어 구입(국어에듀테크 리,2026-04-28,100000,학교장터,에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 구독료 지급_젭퀴즈,2026-04-28,264000,주식회사 교육의정석,에듀테크
2026,한솔초등학교,1인수의,물품,2026학년도 디지털 활용 선도학교 에듀테크 및 코스웨어 구입(클래스팅 AI),2026-04-28,2929500,주식회사 씨티,에듀테크
2026,대평초등학교,1인수의,물품,AI 중점학교 에듀테크 구입,2026-04-28,3780000,위드현 에듀테크,에듀테크
2026,어진중학교,1인수의,물품,"[S2B_카드]AI디지털 활용 선도학교 운영을 위한 에듀테크(카훗, 패들렛 플래티넘)",2026-04-27,1220000,위드현 에듀테크,에듀테크
2026,해밀고등학교,1인수의,물품,"2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 및 인공지능 도구 구입_퀴즈앤프로,",2026-04-27,402000,클라스온 주식회사,에듀테크
2026,어진중학교,1인수의,물품,[카드]AI디지털 활용 선도학교 운영을 위한 에듀테크(클래스카드) 구입,2026-04-27,660000,주식회사 클래스카드,에듀테크
2026,새롬초등학교,1인수의,물품,[카드] 2026학년도 AI중점학교 에듀테크 구매(5학년 2차),2026-04-27,775500,한국교직원공제회 S2B,에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 구독료 지급_피클,2026-04-27,480000,주식회사 피클랩,에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 구독료 지급_클리포,2026-04-27,198000,주식회사 데이터드리븐,에듀테크
2026,다정중학교,1인수의,물품,[S2B]2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(GPT),2026-04-27,2380000,나이스쿨,에듀테크
2026,조치원중학교,1인수의,물품,2026학년도 AI디지털활용선도학교 운영 에듀테크(클래스카드) 구입,2026-04-27,1080000,주식회사 클래스카드,에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(구글 AI Pro),2026-04-24,3591000,테크빌교육(티처몰),에듀테크
2026,조치원중학교,1인수의,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크(투닝pro) 구독료 지급,2026-04-22,982800,툰스퀘어 주식회사,에듀테크
2026,조치원중학교,1인수의,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크(심스페이스) 구입,2026-04-21,2700000,테바소프트 주식회사,에듀테크
2026,조치원중학교,1인수의,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크(패들렛) 구입,2026-04-21,1904000,올댓스쿨 주식회사,에듀테크
2026,고운중학교,1인수의,용역,[S2B] 에듀테크 프로그램 구입(캔바),2026-04-21,1122000,한국교직원공제회 S2B,에듀테크
2026,한솔초등학교,1인수의,물품,2026학년도 디지털 활용 선도학교 에듀테크 및 코스웨어 구입,2026-04-21,13146000,주식회사 프리월린,에듀테크
2026,두루고등학교,1인수의,물품,[카드]2026학년도 에듀테크 프로그램(이음AI) 구입비 지급,2026-04-21,12600000,(주)화이트소프트,에듀테크
2026,조치원중학교,1인수의,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크(퀴즈앤프로) 구입,2026-04-21,576000,클라스온 주식회사,에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(밤부즐),2026-04-20,130000,위드현 에듀테크,에듀테크
2026,고운고등학교,1인수의,물품,(원인)2026학년도 디지털 선도학교 에듀테크 구입,2026-04-20,329000,푸른길,에듀테크
2026,새롬초등학교,1인수의,물품,[카드] 2026학년도 1학기 3~4학년 수업 지원 에듀테크 구입,2026-04-20,1364000,한국교직원공제회 S2B,에듀테크
2026,두루고등학교,1인수의,물품,[카드]2026학년도 AI중점학교 운영을 위한 에듀테크(미리캔버스) 구입비 지급,2026-04-18,160800,(주)미리디,에듀테크
2026,조치원교동초등학교,1인수의,물품,AI중점학교 운영을 위한 에듀테크 프로그램 구입,2026-04-17,83000,주식회사 에듀포올,에듀테크
2026,종촌중학교,1인수의,물품,[카드원행]2026학년도 교사용 에듀테크 코스웨어 구매,2026-04-17,1319000,S2B(학교장터),에듀테크
2026,어진중학교,1인수의,물품,[카드]AI디지털 활용 선도학교 운영 에듀테크 도서 구입,2026-04-17,41820,쿠팡(주),에듀테크
2026,도담고등학교,1인수의,물품,AI 중점학교 에듀테크(Google Workspace) 이용권 구입,2026-04-17,6600000,에듀벤처 주식회사,에듀테크
2026,고운중학교,1인수의,용역,[S2B] 에듀테크 프로그램 구입(이음AI),2026-04-16,10500000,(주)화이트소프트,에듀테크
2026,고운중학교,1인수의,용역,에듀테크 프로그램 구입(플랭스쿨),2026-04-16,240000,주식회사 플랭,에듀테크
2026,조치원교동초등학교,1인수의,물품,AI중점학교 운영을 위한 에듀테크 프로그램 구입,2026-04-16,6909300,한국교직원공제회 S2B,에듀테크
2026,도담고등학교,1인수의,물품,AI 중점학교 에듀테크(클로드 외 2종) 이용권 구입,2026-04-13,2082400,올아이피정보통신 주식회사,에듀테크
2026,부강중학교,1인수의,물품,에듀테크 소프트웨어 구입,2026-04-10,360000,주식회사 교육의정석,에듀테크
2026,한솔고등학교,1인수의,물품,2026년 AI중점학교 운영을 위한 에듀테크 구독비 지급,2026-04-10,4800000,바오스토어,에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(스쿨플랫),2026-04-10,2350000,(주)프리윌린,에듀테크
2026,부강중학교,1인수의,물품,에듀테크 소프트웨어 구입,2026-04-09,2745000,바이에듀,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(클래스카드),2026-04-09,330000,주식회사 클래스카드,에듀테크
2026,도담고등학교,1인수의,물품,디지털튜터 운영 에듀테크(띵커벨) 이용권 구입,2026-04-09,300000,(주)아이스크림미디어,에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(패들렛),2026-04-09,4160000,테크빌교육(티처몰),에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI디지털 활용 선도학교 에듀테크 상품 구매,2026-04-09,598800,테크빌교육(티처몰),에듀테크
2026,도담고등학교,1인수의,물품,"디지털튜터 운영 에듀테크(클리포, 다했니) 이용권 구입",2026-04-07,495000,주식회사 데이터드리븐,에듀테크
2026,도담고등학교,1인수의,물품,에듀테크(웨이그라운드) 이용권 구입,2026-04-07,1170000,제이로이,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(우리반 관계읽기),2026-04-07,630000,(주)퓨전소프트,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(자작자작),2026-04-07,2700000,(주)팀플백,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(매쓰홀릭),2026-04-07,6300000,테크빌교육(주),에듀테크
2026,도담고등학교,1인수의,물품,AI 중점학교 에듀테크 도구(학습지원 소프트웨어) 구입,2026-04-03,7150000,(주)엘리스그룹,에듀테크
2026,새롬초등학교,1인수의,물품,[카드]2026학년도 AI중점학교 에듀테크 구매(5학년),2026-04-01,1650000,(주)아이스크림미디어,에듀테크
2026,부강중학교,1인수의,물품,2026학년도 영어학습 지원 에듀테크 구입,2026-03-19,50000,엘위드,에듀테크
2026,보람고등학교,1인수의,물품,[카드 0539] 에듀테크 소모품 구입,2026-03-18,530160,주식회사 지마켓,에듀테크
2026,종촌고등학교,1인수의,물품,학교 자체 워크스페이스 구축 및 운영 에듀테크 구독,2026-03-06,9006000,(주)와이비네트웍스,에듀테크
2026,나래초등학교,1인수의,물품,[원행]2026학년도 에듀테크 소프트웨어(망고보드) 구입,2026-03-04,560000,(주)리아모어소프트,에듀테크
2026,새뜸초등학교,1인수의,물품,특수학급 에듀테크 교육용 프로그램 구입,2026-03-03,1000000,주식회사 에누마코리아,에듀테크
2025,새롬고등학교,1인수의,물품,"[카드] 2025학년도 디지털 선도학교 에듀테크 구입(생성형 AI, Perplexity A",2026-01-12,256690,PERPLEXITY,에듀테크
2025,새롬고등학교,1인수의,물품,[카드] 2025학년도 디지털 선도학교 에듀테크 구입(생성형 AI),2026-01-08,326730,"CURSOR, AI POW",에듀테크
2025,다정중학교,1인수의,물품,[S2B]패들렛 플래티넘(에듀테크) 라이센스 구매,2026-01-08,850000,S2B(학교장터),에듀테크
2025,다정중학교,1인수의,물품,"[S2B]다했니, 스픽(에듀테크) 라이센스 구매",2026-01-07,276000,S2B(학교장터),에듀테크
2025,보람고등학교,1인수의,물품,[원행] [2025학년도 디지털 선도학교]에듀테크 구독비(노션)(S2B),2026-01-02,564000,주안테크,에듀테크
2025,새롬고등학교,1인수의,물품,[카드] 2025학년도 디지털 선도학교 에듀테크(생성형 AI) 구입,2025-12-31,434240,claude.ai,에듀테크
2025,새롬고등학교,1인수의,물품,[카드] 2025학년도 디지털 선도학교 에듀테크 구입,2025-12-31,1440490,"CURSOR, AI POW",에듀테크
2025,세종고등학교,1인수의,물품,디지털 기반 교육혁신 실천학교 AI 에듀테크 물품 구입비 지급,2025-12-29,528000,(주)11번가,에듀테크
2025,세종도원초등학교,1인수의,물품,[카드]2025학년도 겨울방학 성장지원 프로그램(에듀테크로 즐기는 예체능) 운영물품 구입,2025-12-29,118480,지마켓,에듀테크
2025,새롬고등학교,1인수의,물품,[카드] 2025학년도 디지털 선도학교 에듀테크 구입(Cursor team),2025-12-29,367230,"CURSOR, AI POW",에듀테크
2025,다정중학교,1인수의,물품,[S2B] 패들렛 플래티넘(에듀테크) 라이센스 구입,2025-12-26,340000,올댓스쿨 주식회사,에듀테크
2025,고운고등학교,1인수의,물품,(원인)2025학년도 고운마음 에듀테크 도서 2학기 물품 구입,2025-12-18,429300,알라딘커뮤니케이션,에듀테크
2025,새롬중학교,1인수의,물품,"2025 디지털기반 교육혁신실천학교 운영 에듀테크 구독료(토도한글,영어)",2025-12-17,958500,에누마코리아,에듀테크
2025,새롬중학교,1인수의,물품,2025 디지털기반 교육혁신실천학교 운영 에듀테크 구독료(코들등6종),2025-12-17,4172500,테크빌교육(티처몰),에듀테크
2025,다빛초등학교,1인수의,물품,디지털 튜터 활용 수업 운영을 위한 에듀테크 구입(-p),2025-12-15,1131000,(주)지마켓,에듀테크
2025,새움중학교,1인수의,물품,2025학년도 주제중심 전문적학습공동체(에듀테크 연구회) 도서 구입,2025-12-02,216630,예스이십사(주),에듀테크
2025,새롬고등학교,1인수의,물품,[카드] 2025학년도 디지털 선도학교 에듀테크 구입비 지급(gptAPI),2025-11-30,29980,OPENAI *CHATGPT SUBSCR,에듀테크
2025,두루고등학교,1인수의,물품,[카드][학점제] 에듀테크 제품 사용 만기에 따른 제품 연장(CHAT GPT),2025-11-28,1348110,"OpenAI, LLC",에듀테크
2025,아름고등학교,1인수의,물품,[포인트]전문적학습공동체(아름에듀테크연구회) 운영물품 구입,2025-11-28,65900,쿠팡(주),에듀테크
2025,보람중학교,1인수의,물품,[카드 5838] 2025학년도 주제중심 전문적학습공동체(에듀테크와 함께하는 보람찬 교사,2025-11-27,146120,지마켓,에듀테크
2025,세종국제고등학교,1인수의,물품,2025년 에듀테크(패들렛) 라이센스 구입비 지급,2025-11-26,1450000,(주)헬로소프트,에듀테크
2025,도담고등학교,1인수의,물품,수학과 운영 에듀테크 프로그램(Chat GPT Pro) 구입,2025-11-26,784000,올댓스쿨 주식회사,에듀테크
2025,도담고등학교,1인수의,물품,수학과 운영 에듀테크 프로그램(매쓰홀릭T) 구입,2025-11-26,1300000,테크빌교육(주),에듀테크
2025,부강초등학교,1인수의,물품,디지털튜터 활용 수업을 위한 에듀테크 구입비 지급(니어팟 골드),2025-11-25,2580000,올댓스쿨 주식회사,에듀테크
2025,고운고등학교,1인수의,물품,(원인)2025학년도 디지털 선도학교 에듀테크 물품(퀴지즈) 구입,2025-11-19,340000,테크홍,에듀테크
2025,새움중학교,1인수의,물품,영어과 에듀테크 교육 프로그램(그래머리)구입,2025-11-19,144000,에듀넥스트,에듀테크
2025,새움중학교,1인수의,물품,영어과 에듀테크 교육 프로그램(퀼봇) 구입,2025-11-19,378000,도담에듀,에듀테크
