학교,시도,도메인,링크문구,링크URL
경신중학교,서울,read365.edunet.net,우리학교도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B2%BD%EC%8B%A0%EC%A4%91%ED%95%99%EA%B5%90&amp;provCode=B10&amp;neisCode=B100002336
경신중학교,서울,hostncd.ssem.or.kr,PLAY,https://hostncd.ssem.or.kr/api/frame_player.html?syncno=4138986795_2524797598&xx=auto&&yy=500
경신중학교,서울,www.ealimi.com,이알리미,https://www.ealimi.com/Member/SignIn
경신중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
경인고등학교,서울,read365.edunet.net,경인도서관,http://read365.edunet.net/PureScreen/SchoolSearch?schoolName=경인고등학교&provCode=B10&neisCode=B100000383
경인고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
경일고등학교,서울,www.ekape.or.kr,축산물 이력번호,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=2068302104
경희여자중학교,서울,read365.edunet.net,우리학교도서관,https://read365.edunet.net/SchoolSearch
경희여자중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
경희초등학교,서울,www.ekape.or.kr,축산물 이력번호 조회,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=2058202351
계성고등학교,서울,eyepopper.cafe24.com,교지 eBook,https://eyepopper.cafe24.com/school_magazine/
계성초등학교,서울,www.catholicfound.org,학교법인,http://www.catholicfound.org/cmm/main/mainPage.do
계성초등학교,서울,dkedu.itisn.net,SMS,http://dkedu.itisn.net/
계성초등학교,서울,www.schoolsafe.kr,,http://www.schoolsafe.kr
고려대학교사범대학부속고등학교,서울,www.jinhak.or.kr,진로진학센터,http://www.jinhak.or.kr
고려대학교사범대학부속고등학교,서울,koreahi.riroschool.kr,리로스쿨,https://koreahi.riroschool.kr/
고려대학교사범대학부속고등학교,서울,read365.edunet.net,독서로,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%82%AC%EB%B2%94%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&am
공릉중학교,서울,read365.edunet.net,공릉중학교 도서 검색입니다,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B3%B5%EB%A6%89%EC%A4%91%ED%95%99%EA%B5%90&provCode=B10&neisCode=B100001696
공릉중학교,서울,bit.ly,자유학기제,https://bit.ly/dreamkr
공릉중학교,서울,www.ssem.or.kr,ssem,https://www.ssem.or.kr/index.do?sso=ok
공릉중학교,서울,hostncd.ssem.or.kr,PLAY,https://hostncd.ssem.or.kr/api/frame_player.html?syncno=4730377274_7938939017&xx=auto&&yy=500
공릉중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
공항고등학교,서울,read365.edunet.net,사이버도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B3%B5%ED%95%AD%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&provCode=B10&neisCode=B100000389
공항고등학교,서울,konghang.riroschool.kr,리로스쿨,https://konghang.riroschool.kr/
공항고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
공항중학교,서울,read365.edunet.net,도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=공항중학교&provCode=B10&neisCode=B100000970
공항중학교,서울,www.dbdbschool.kr,자유학기제 수강신청,https://www.dbdbschool.kr/go/ai/0S7a3y7
공항중학교,서울,cls.edunet.net,서울 e학습터,https://cls.edunet.net/mainPage
공항중학교,서울,www.ssem.or.kr,,http://www.ssem.or.kr/index.do?sso=ok
공항중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
광신방송예술고등학교,서울,hostncd.ssem.or.kr,PLAY,https://hostncd.ssem.or.kr/api/frame_player.html?syncno=9494791511_1646606862&xx=auto&&yy=500
광신방송예술고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
광신방송예술고등학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
광양중학교,서울,www.dbdbschool.kr,사진이미지,http://www.dbdbschool.kr/member/login/sn/1440
광양중학교,서울,read365.edunet.net,사진이미지,https://read365.edunet.net
광양중학교,서울,hostncd.ssem.or.kr,PLAY,https://hostncd.ssem.or.kr/api/frame_player.html?syncno=7474688639_2139055690&xx=auto&&yy=500
광양중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
광장중학교,서울,read365.edunet.net,우리학교도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=광장중학교&provCode=B10&neisCode=B100002147
광장중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
구룡중학교,서울,www.ealimi.com,e알리미 비회원용(일반인) 사전예약,https://www.ealimi.com//visit/R/9b8z0y1e
구룡중학교,서울,read365.edunet.net,학교도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B5%AC%EB%A3%A1%EC%A4%91%ED%95%99%EA%B5%90&amp;provCode=B10&amp;neisCode=B100000701
구룡중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
구의중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
구의중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
구일중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
구일중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
구현고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
구현고등학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
국사봉중학교,서울,read365.edunet.net,디지털도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=국사봉중학교&amp;provCode=B10&amp;neisCode=B100001549
금성초등학교,서울,kumsung.dkyobobook.co.kr,전자도서관,http://kumsung.dkyobobook.co.kr/
금성초등학교,서울,foxschool.littlefox.co.kr,팍스스쿨,https://foxschool.littlefox.co.kr/kumsung
금성초등학교,서울,check.easyproxy.xyz,(농촌진흥청) 미생물 실험서 및 실험 영상 안내,http://check.easyproxy.xyz/bbs/board.php?bo_table=2_1&amp;wr_id=3472
금성초등학교,서울,www.crezone.net,,http://www.crezone.net/
금성초등학교,서울,if-blog.tistory.com,,http://if-blog.tistory.com/5138
금성초등학교,서울,primary.ebs.co.kr,,http://primary.ebs.co.kr/main/primary
금천고등학교,서울,211.252.68.149,방과후학교 운영시스템,http://211.252.68.149/app/regi/login.php
금천고등학교,서울,www.hscredit.net,교육과정 신청,http://www.hscredit.net
금천고등학교,서울,read365.edunet.net,도서관,http://read365.edunet.net
금천고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
금천문화예술정보학교,서울,tidy-cord-0c1.notion.site,학과소개,https://tidy-cord-0c1.notion.site/1ac0784e941980ebaf26eb5d124342d7
금호중학교,서울,read365.edunet.net,독서로,https://read365.edunet.net/
금호중학교,서울,www.ealimi.com,방문신청,https://www.ealimi.com/visit
금호중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
길음중학교,서울,reading.ssem.or.kr,도서실,http://reading.ssem.or.kr/r/reading/search/schoolCodeSetting.jsp?schoolCode=33430&amp;returnUrl=
난우중학교,서울,read365.edunet.net,도서관,http://read365.edunet.net
난우중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
남강고등학교,서울,itmainnamgang.cafe24.com,방과후학교,https://itmainnamgang.cafe24.com/app/regi/login.php
남강중학교,서울,read365.edunet.net,도서실 도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=남강중학교&provCode=B10&neisCode=B100001551
남강중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
남성중학교,서울,read365.edunet.net,독서로,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=남성중학교&provCode=B10&neisCode=B100001553
남성중학교,서울,www.ssem.or.kr,서울교육포털 ssem,http://www.ssem.or.kr
남성중학교,서울,sge.ssp.re.kr,서울영재교육,http://sge.ssp.re.kr
남성중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
내곡중학교,서울,seoulvr.kr,지능형 과학실 360° VR,https://seoulvr.kr/vr/school/naegok_science/
노원고등학교,서울,read365.edunet.net,우리학교 도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=노원고등학교&amp;provCode=B10&amp;neisCode=B100000404
노원고등학교,서울,www.jinhak.or.kr,서울진로진학정보센터,http://www.jinhak.or.kr/uat/uia/main.do
누리학교,서울,hostncd.ssem.or.kr,PLAY,https://hostncd.ssem.or.kr/api/frame_player.html?syncno=4469837367_2585257837&xx=auto&&yy=500
누리학교,서울,www.kidsnote.com,배너3,https://www.kidsnote.com/
누리학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
누리학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
누원고등학교,서울,jinhak.or.kr,진로진학정보센터,http://jinhak.or.kr/uat/uia/main.do
누원고등학교,서울,read365.edunet.net,우리학교 전자도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=누원고등학교도서실&provCode=B10&neisCode=B100005181
누원고등학교,서울,www.dbpia.co.kr,DBPia,http://www.dbpia.co.kr
누원고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
당산서중학교,서울,read365.edunet.net,도서검색,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=당산서중학교&amp;provCode=B10&amp;neisCode=B100001172
당산서중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
