제품명,영문명,공급자,구분,확인여부,등록일
Baamboozle+,Baamboozle+,Baamboozle Inc.,private_foreign,improvement_requested,2026-02-11
코드온,,,public_including_city_province,confirmed,2026-03-26
스콜라스틱 리터러시 프로,Scholastic Literacy Pro,,private_foreign,confirmed,2026-03-13
Turnitin / ExamSoft,Turnitin / ExamSoft,"Turnitin, LLC",private_foreign,confirmed,2026-04-14
과학쌤과학실,SCIENCE LAB,과학쌤과학습,other,confirmed,2026-05-06
Citizens,Citizens,Citizens Education Limited,private_foreign,confirmed,2026-04-29
Brisk Teaching,,,private_foreign,confirmed,2026-04-03
릴리스AI,LilysAI,,private_domestic,confirmed,2026-04-10
,,,private_domestic,improvement_requested,2026-05-04
코딩판다,CodingPanda,정진욱,other,confirmed,2026-05-04
보고핏(BOGOFIT) AI 가상 피팅 솔루션,BOGOFIT AI Virtual Fitting Solution,㈜메타뱅크,private_domestic,confirmed,2026-04-06
,,(주)퓨쳐플랜,private_domestic,improvement_requested,2026-04-30
포레스트 어드밴스트 심리검사 (4REST-Advanced),,㈜ 당신의포레스트,private_domestic,confirmed,2026-04-29
진로종합검사 / 올리닻(ONLY DOT),,,private_domestic,confirmed,2026-04-29
학습동기 및 기술검사 (LMSI),,,private_domestic,confirmed,2026-04-29
마주온,,,public_including_city_province,confirmed,2026-03-26
SAP University Alliance,,,private_foreign,confirmed,2026-03-31
마음바다탐험대,,조예은,other,confirmed,2026-04-30
옥토스튜디오,Octostudio,,private_foreign,confirmed,2026-03-04
닥터매쓰,,,private_domestic,confirmed,2026-04-30
초등영어활용노트 어휘,,유진호,other,confirmed,2026-04-30
오늘의 영단어로 실력 Up,,유진호,other,confirmed,2026-04-30
Seesaw,,"Seesaw Learning, Inc.",private_foreign,confirmed,2026-02-11
마음이음 무지개,,변태훈,other,confirmed,2026-04-30
유레카 통계와 분석,EUREKA Statistics & Analysis,한국사회과학데이터센터,private_domestic,confirmed,2026-04-22
Prodigy Game,Prodigy Game,Prodigy Education Inc,private_foreign,confirmed,2026-03-17
전자계약/싸인오케이,SignOk,,private_domestic,confirmed,2026-04-14
,HoloMagic,,private_domestic,confirmed,2026-04-13
AI 러닝 GO,,,private_domestic,confirmed,2026-04-13
,Gendia AI,,private_domestic,confirmed,2026-04-28
Quiver 3D Coloring App and Quiver Education Dashboard,,QuiverVision Limited,private_foreign,improvement_requested,2026-02-11
CK-12 Foundation,CK-12 Foundation,CK-12 Foundation,private_foreign,confirmed,2026-04-13
전자연구노트 구노,"Electronic Lab Note ""Goono""",,private_domestic,confirmed,2026-04-20
LoiLoNote School,LoiLoNote School,LoiLo Inc,private_foreign,improvement_requested,2026-04-29
ibisPaint Edu,ibisPaint Edu,ibis Inc.,private_foreign,confirmed,2026-04-29
"카카오톡 및 톡채널, 카카오맵, 카카오메일",,,private_domestic,confirmed,2026-04-24
BSD,BSD Education,,private_foreign,confirmed,2026-02-13
,XR Showroom,,private_domestic,confirmed,2026-04-13
,XR Magic,,private_domestic,confirmed,2026-04-13
메나비,Menabi,,private_domestic,confirmed,2026-04-23
,Sojunghangeul,,private_domestic,confirmed,2026-01-26
라이노,Rhino,,private_foreign,confirmed,2026-03-27
모자익 에듀케이션(Mozaik Education),Mozaik Education,,private_foreign,confirmed,2026-03-10
AI 기반 교육행정·수업지원 자동화 솔루션 - SmoodyAI,SmoodyAI,,private_domestic,confirmed,2026-04-28
랭카데미맥스ai스쿨,Langcademy maxai school,,private_domestic,confirmed,2026-04-24
한배,Hanbae,,private_domestic,confirmed,2026-04-13
,WeeNote AI,,private_domestic,confirmed,2026-01-27
,,,private_domestic,confirmed,2026-03-23
,motivr solution,,private_domestic,confirmed,2026-01-29
Shuttlerun ai,셔틀런 에이아이,장지우,other,confirmed,2026-04-23
수학 놀이터,math playground,김정준,other,confirmed,2026-04-23
다글로,daglo,,private_domestic,confirmed,2026-04-23
클래스아이 수업관리 솔루션,Class i Classroom Management Solution,,private_domestic,confirmed,2026-04-02
,DEEPCO BOT,(주)유비온,private_domestic,confirmed,2026-03-11
,,,private_domestic,confirmed,2026-04-20
Router 에뮬레이터,,,private_domestic,confirmed,2026-04-17
ICQA 실습용 에뮬레이터,,,private_domestic,confirmed,2026-04-17
ICQA 모의고사 예제 프로그램,,,private_domestic,confirmed,2026-04-17
ICQA 실기시험 프로그램,,,private_domestic,confirmed,2026-04-17
학습이력카드,학습이력카드,박주형,other,confirmed,2026-04-22
A-City,A-City,,private_domestic,confirmed,2026-02-05
aidreammap,aidreammap,,private_domestic,confirmed,2026-04-21
스테이지드 플러스,STAGED+,김종훈,other,confirmed,2026-04-21
비누(VINU),VINU,,private_domestic,confirmed,2026-04-21
부산교육 AI 튜터 BeAT,,,public_including_city_province,confirmed,2026-04-01
책스책,CHEKSCHEK,유영재,other,confirmed,2026-04-21
다국어 프로그램,Neuro-Lingua,,private_domestic,improvement_requested,2026-02-12
키즈독서통장,키즈독서통장,TAMID LABS,other,confirmed,2026-04-20
독서통장light,독서통장light,TAMID LABS,other,confirmed,2026-04-20
,,,private_domestic,confirmed,2026-04-10
,classnote,,private_domestic,confirmed,2026-04-14
,kidsnote,,private_domestic,confirmed,2026-02-11
제이씨블록,jcblock,,private_domestic,confirmed,2026-04-13
,,,private_domestic,confirmed,2026-01-27
나니아,NARNIA,,private_domestic,confirmed,2026-03-24
최소성취수준보장 예방지도 출석부,,박주형,other,confirmed,2026-03-31
,,,private_domestic,confirmed,2026-04-13
원더클래스,WONDER CLASS,,private_domestic,confirmed,2026-03-18
코답(CODAP),,The Concord Consortium,private_foreign,confirmed,2026-02-23
,maruLab,,private_domestic,confirmed,2026-04-15
온마음 성장펫,On-Maum Pet,허재이,other,confirmed,2026-04-15
기상기후 빅데이터 분석 플랫폼,,,public_including_city_province,improvement_requested,2026-04-15
차곡차곡,CHAGOGCHAGOG,홍성욱,other,confirmed,2026-04-14
코코봇,,,private_domestic,confirmed,2026-04-13
Flat for Education,Flat for Education,Tutteo Inc.,private_foreign,confirmed,2026-03-17
Classkick,Classkick,"Classwork Co., DBA",private_foreign,confirmed,2026-03-17
Spline,Spline,"Spline, Inc.",private_foreign,confirmed,2026-02-13
TVPaint Animation Software,TVPaint Animation Software,TV Paint Développement,private_foreign,improvement_requested,2026-04-14
onlinegdb.com,onlinegdb.com,Cryptoshine Tech,private_foreign,improvement_requested,2026-04-14
Nomad Sculpt,Nomad Sculpt,Hexanomad,private_foreign,confirmed,2026-04-14
Movavi,Movavi,Movavi Software Limited,private_foreign,confirmed,2026-04-14
Lyrics Into Song AI,Lyrics Into Song AI,ARTFUSION INNOVATIONS  LTD,private_foreign,improvement_requested,2026-04-14
LearningLemur,LearningLemur,"Maths for More, S.L.U.",private_foreign,improvement_requested,2026-04-14
수학아레나,MATH ARENA,정준용,other,confirmed,2026-04-13
Padlet Platinum Annual,"Padlet Platinum Annual, 패들렛 플래티넘 연간",,private_foreign,confirmed,2026-04-06
레고 에듀케이션 사이언스 / 시크릿노트,LEGO Education Science / Secret Note,,private_domestic,confirmed,2026-01-30
레고 에듀케이션 사이언스 시크릿패키지 / 교사 포털,LEGO Education Science Secret Package / Teacher Portal,,private_foreign,confirmed,2026-01-30
Flint,Flint,"Flint, Inc.",private_foreign,confirmed,2026-04-13
IP아카데미(국가지식재산교육포털),IP-ACADEMY,,public_including_city_province,confirmed,2026-04-13
Artsteps,Artsteps,Dataverse Ltd,private_foreign,improvement_requested,2026-04-13
AhaSlides,AhaSlides,AhaSlides Pte. Ltd.,private_foreign,improvement_requested,2026-04-13
ClassLive(클래스 라이브),ClassLive,SamFlow,other,confirmed,2026-04-10
T-Link(티 링크),T-Link,SamFlow,other,confirmed,2026-04-10
메이크 코드,Makecode,,private_foreign,confirmed,2026-01-29
에이탐스 AI기반 탐구·진로 플랫폼,AITAMS,,private_domestic,improvement_requested,2026-02-12
니즈폼,,,private_domestic,confirmed,2026-03-25
코드닷오알지,code.org,,private_foreign,confirmed,2026-04-02
Coggle,,Coggle Limited,private_foreign,confirmed,2026-02-11
서울 학생 미래 역량 진단 시스템,,,public_including_city_province,confirmed,2026-03-24
코드닷오알지 스튜디오,studio.code.org,,private_foreign,confirmed,2026-03-25
"SEN스쿨(센스쿨, 서울교수학습플랫폼)",,,public_including_city_province,confirmed,2026-01-30
Jamovi Cloud,,The Jamovi Project Pty Ltd,private_foreign,confirmed,2026-02-11
학습역량 진단검사 온라인 시스템,,주식회사 리마커블소프트,public_including_city_province,confirmed,2026-04-07
파이보츠 코딩로봇,PAIBOTZ,,private_foreign,confirmed,2026-03-06
"Final Cut Pro, Logic Pro, Pixelmator Pro","Final Cut Pro, Logic Pro, Pixelmator Pro",,private_foreign,confirmed,2026-04-09
"Keynote, Numbers, Pages","Keynote, Numbers, Pages",,private_foreign,confirmed,2026-04-09
"Freeform, GarageBand, iMoive, Reality Composer, Swift Playground","Freeform, GarageBand, iMoive, Reality Composer, Swift Playground",,private_foreign,confirmed,2026-04-09
"Apple School Manager, 교실 앱(Classroom), 스쿨워크(Schoolwork)","Apple School Manager, Classroom, Schoolwork",,private_foreign,confirmed,2026-02-11
Star Walk 2 - Night Sky Map,,"Vito Technology, Inc.",private_foreign,confirmed,2026-02-11
Sky Tonight - Star Gazer Guide,,"Vito Technology, Inc.",private_foreign,confirmed,2026-02-11
,,,private_domestic,confirmed,2026-04-09
퐁당넷/단체및 공공기관 문자메시지 솔루션,pongdang.net,,private_domestic,confirmed,2026-04-06
시소노트,SISONOTE,이다인,other,confirmed,2026-04-09
,,한국독서교육개발원,private_domestic,confirmed,2026-03-25
당신의 회사는 지금,,"남호련, 정현웅",other,confirmed,2026-04-09
콘텐츠플러스,콘텐츠플러스,,private_domestic,confirmed,2026-01-30
,AI이거다,,private_domestic,confirmed,2026-01-30
레고 에듀케이션 컴퓨터 사이언스&AI,LEGO Education Computer Science & AI,,private_foreign,confirmed,2026-01-30
인천바로알기 앱,,,public_including_city_province,confirmed,2026-04-07
레고 에듀케이션 스파이크 에센셜&프라임 / SPIKE,SPIKE,,private_foreign,confirmed,2026-01-30
AIX-mate,,,private_domestic,confirmed,2026-04-01
"스피로 EDU / 그리기(Draw), 블록(Blocks), 텍스트(Text - JavaScript/Python)의 3단계 캔버스","Sphero EDU / 3-stage canvas: Draw, Blocks, and Text (JavaScript/Python)",,private_foreign,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-04-08
,Rogic,,private_domestic,confirmed,2026-01-27
BEEP,,,private_domestic,confirmed,2026-04-06
,MINDSONATA,,private_domestic,confirmed,2026-04-03
하드보안관,,,private_domestic,confirmed,2026-04-02
클래스M,,,private_domestic,confirmed,2026-04-02
AI 기반 영문법 문항 생성기,,주식회사 그래머피티,private_domestic,confirmed,2026-04-06
일단어 던전,,,private_domestic,improvement_requested,2026-04-07
스페이스틴 AI - 미래진로 탐색,,,private_domestic,confirmed,2026-04-07
똑똑 주식 대결_AI 반도체 전쟁,,,private_domestic,confirmed,2026-04-07
스페이스틴 M - 마인드맵 역량분석,,,private_domestic,confirmed,2026-04-07
AI 505_Body 포즈인식 로봇,,,private_domestic,confirmed,2026-04-07
AI 505_Face 얼굴인식 로봇,,,private_domestic,confirmed,2026-04-07
,,,private_domestic,confirmed,2026-04-07
인공지능자격증(AILC),,,private_domestic,confirmed,2026-04-07
AI최적요리사 - 떡볶이 대결,,,private_domestic,confirmed,2026-04-07
AI 보이스_음성인식 기초,,,private_domestic,confirmed,2026-04-07
AI 초이스_최적화 실험실,,,private_domestic,confirmed,2026-04-07
TCLIMB CLUB,,,private_domestic,confirmed,2026-04-06
,Monito,,private_domestic,confirmed,2026-04-03
출판,,,private_domestic,confirmed,2026-03-31
"심리검사 채점프로그램 Mscore (MMPI, TCI)",mscore,주식회사 마음사랑,private_domestic,confirmed,2026-02-05
표준화 성격진단검사-350문항,,,private_domestic,confirmed,2026-04-07
표준화 성격진단검사-198문항,,,private_domestic,confirmed,2026-04-07
간이정신진단검사II (KSCL95/온라인검사),,,private_domestic,confirmed,2026-04-07
하이랜드_경기도교육청,,,public_including_city_province,confirmed,2026-03-27
핑크퐁플러스,Pinkfong Plus,,private_domestic,confirmed,2026-03-11
Foreducator(포에듀케이터),foreducator,박진환,other,confirmed,2026-04-06
TCLIMBWORLD,,,private_domestic,confirmed,2026-04-06
온라인 교육,,,public_including_city_province,confirmed,2026-04-06
싸다보카,,,private_domestic,confirmed,2026-04-06
스쿨박스,SchoolBox,김재헌,other,confirmed,2026-04-06
,vFlat,,private_domestic,confirmed,2026-04-03
초록발자국,,,public_including_city_province,confirmed,2026-04-06
,Odinga English,,private_domestic,improvement_requested,2026-04-03
스마일보건,,,private_domestic,confirmed,2026-02-04
,,,private_domestic,confirmed,2026-04-03
,,,private_domestic,confirmed,2026-04-02
스쿨폴리오,schoolfolio,,private_domestic,confirmed,2026-03-31
,Lims' Character Style Inventory,,private_domestic,confirmed,2026-04-02
,,,private_domestic,confirmed,2026-04-01
매티픽(Matific),Matific,,private_foreign,confirmed,2026-03-12
,AI Math QUEBON,이쿠얼키 주식회사,private_domestic,confirmed,2026-03-31
문해력 진단평가/트레이닝 AI 학습시스템 (AI Readers Doctor 119),,,private_domestic,confirmed,2026-04-02
AI문해력 진단/트레이닝 학습시스템 (AI SM-119),,,private_domestic,confirmed,2026-04-02
인공지능대입면접시스템 (Self-Confidence Ai 8000),,,private_domestic,confirmed,2026-04-02
AI 영어 Literacy 평가 학습 솔루션 'AI 모비리드',AI Moby.Read+,,private_foreign,confirmed,2026-03-16
클래스코인(ClassCoin),ClassCoin,클래스코인,other,confirmed,2026-04-03
MECA,,,public_including_city_province,confirmed,2026-04-02
연산왕,gugudan_V2,박호균,other,confirmed,2026-04-03
제니코그 AI,Zenicog AI,,private_domestic,confirmed,2026-04-03
인공지능면접시스템 (Self-Confidence Ai 7000),,,private_domestic,confirmed,2026-04-02
커넥트(CONNECT),CONNECT,,private_domestic,confirmed,2026-04-02
테크닉(TECHNIC),TECHNIC,,private_domestic,confirmed,2026-04-02
티클래스,,,private_domestic,confirmed,2026-04-02
위즈AI,wizAI,,private_domestic,confirmed,2026-04-02
공동교육과정,,,public_including_city_province,confirmed,2026-02-19
,SOLVY,,private_domestic,confirmed,2026-04-01
마음톡톡,,,private_domestic,confirmed,2026-02-25
,,,private_domestic,confirmed,2026-03-31
,Argos Classroom,,private_domestic,confirmed,2026-03-30
상문연구사 홈페이지,,,private_domestic,confirmed,2026-02-27
CodeUp Class(코드업 클래스),CodeUp Class,배준호,other,confirmed,2026-04-01
클래스카드,,,private_domestic,confirmed,2026-01-28
고용24,,,public_including_city_province,confirmed,2026-03-30
마음갈피,Maheumgalpi,박호균,other,confirmed,2026-03-31
이지에듀,easyedu,,private_domestic,confirmed,2026-02-05
이지에듀 투게더,easyedu together,,private_domestic,confirmed,2026-02-05
올바른 책 읽기(리드인),leadin,,private_domestic,confirmed,2026-02-06
,AiGLE,,private_domestic,confirmed,2026-03-31
학교급식 통합플랫폼,,,public_including_city_province,confirmed,2026-03-31
,,㈜아이언트레인,private_domestic,confirmed,2026-03-30
더존 화상영어센터,,,private_domestic,confirmed,2026-03-30
빅카인즈,BIG Kinds,,public_including_city_province,confirmed,2026-03-31
트리오 스포츠 플랫폼 앱(App),Trio Sports platform application,(주)트리오컴퍼니,private_domestic,confirmed,2026-03-25
경제교실 이코노미아,Economia,박종근,other,confirmed,2026-03-31
,,,private_domestic,confirmed,2026-03-09
"Microsoft 365 (파워포인트, 액셀, 워드, 팀즈, 러닝 액셀러레이터, 루프등 포함)",,,private_foreign,confirmed,2026-03-16
IB탐험대,,김혜진,other,confirmed,2026-03-31
캐럿AI,CaratAI,,private_domestic,confirmed,2026-02-05
스마트 올림픽,Smart Olympic,김정준,other,confirmed,2026-03-31
베티 주니어,Bety Junior,,private_domestic,confirmed,2026-03-30
베티 - 모션 코딩,BETY - Behavior Education Teaching Youth,,private_domestic,improvement_requested,2026-03-07
핀캔버스,,,private_domestic,confirmed,2026-03-30
스윙투앱,Swing2App,,private_domestic,confirmed,2026-03-27
아이다,Aida,이창건,other,confirmed,2026-03-30
플레이SQL,PlaySQL,황병욱,other,confirmed,2026-03-30
통합생활관리시스템,,산마을고등학교,other,confirmed,2026-03-30
배움공책,mynotebook,박은정,other,confirmed,2026-03-30
강원진학지원통합시스템 감자바 프로그램 및 감자바 앱,,,private_domestic,confirmed,2026-03-23
그린웨일,,,private_domestic,confirmed,2026-03-23
,Career Competency Test,,private_domestic,confirmed,2026-02-16
상식플러스,SangsikPlus,,private_domestic,confirmed,2026-03-03
KOISTUDY(코이스터디),KOISTUDY,정종광,other,confirmed,2026-02-12
앱뜰(App-Tteul),App-Tteul,정용석,other,confirmed,2026-02-01
킹수학,KingsMath,박대현,other,confirmed,2026-02-12
반디컷,Bandicut,,private_domestic,confirmed,2026-02-23
반디캠,Bandicam,,private_domestic,confirmed,2026-02-23
반디캠 맥 버전,Bandicam for Mac,,private_domestic,confirmed,2026-02-24
코드코렉트,CODECORRECT,황지영,other,confirmed,2026-03-26
,2DUB CLASS,,private_domestic,confirmed,2026-02-25
표준화 심리 검사,,,private_domestic,confirmed,2026-03-20
,Kolleges,,private_domestic,confirmed,2026-02-10
,CogUPlay,,private_domestic,confirmed,2026-03-20
경기도교육청전자도서관_경기도교육청,,,public_including_city_province,confirmed,2026-03-27
,IMPACT SPACE,,private_domestic,confirmed,2026-01-26
e-NIE,,,public_including_city_province,confirmed,2026-03-27
한뼘코딩,,페다민트 랩(Pedamint Lab),other,confirmed,2026-02-05
퀴즈마블,quizmarble,디지털정수,other,confirmed,2026-03-27
키샷 스튜디오,KeyShot Studio,,private_foreign,confirmed,2026-03-27
레이저사격시스템,,,private_domestic,confirmed,2026-02-23
지스타캐드 GstarCAD,GstarCAD,,private_foreign,confirmed,2026-02-24
말랑말랑 코딩여행,Coding Adventure,,private_domestic,confirmed,2026-03-13
베스트사이트,bestsite,강정희,other,confirmed,2026-03-27
내동중학교 칭찬저금통,,임재인,other,confirmed,2026-03-26
반려로봇 loona,loona,,private_foreign,confirmed,2026-03-12
디딤돌교실,,,private_domestic,confirmed,2026-03-10
한국어 속뜻사전,,,private_domestic,confirmed,2026-02-09
,Flexcil,,private_domestic,confirmed,2026-03-25
뽀미,ForMe,,private_domestic,confirmed,2026-03-17
SMP-AI,,,other,confirmed,2026-03-24
숲속 곤충 도서관,ForestAI,이조은,other,confirmed,2026-03-26
에듀창고,EduStg,이조은,other,confirmed,2026-03-26
,,,private_domestic,confirmed,2026-03-18
DIY 캐릭터 종이코딩드론,,,private_domestic,confirmed,2026-02-04
블루킷(Blooket),Blooket,Blooket LLC,private_foreign,confirmed,2026-03-26
코드잇,Codeit,,private_domestic,confirmed,2026-03-25
다문화교육포털,,국가평생교육진흥원,public_including_city_province,confirmed,2026-02-03
,NLG - Number Let's Go,,private_domestic,confirmed,2026-03-10
통합시스템,,,private_domestic,improvement_requested,2026-03-19
"AR책카드, XR책놀이, VR로 떠나는 토론 캠프",,,public_including_city_province,confirmed,2026-03-10
,,,private_domestic,confirmed,2026-01-27
,Battle of the numbers App,,private_domestic,confirmed,2026-03-10
노코드AI 스마트메이커,No-code AI SmartMaker,,private_domestic,confirmed,2026-01-23
길찾기 생존교육 오리엔티어링,,,private_domestic,confirmed,2026-03-16
uCode4,uCode4,제이엠로보틱스,private_domestic,confirmed,2026-02-23
,Play the Force,,private_domestic,confirmed,2026-03-10
,Battle of the numbers,,private_domestic,confirmed,2026-03-10
,,,public_including_city_province,confirmed,2026-01-26
초코마에,ChocoMae,,private_domestic,confirmed,2026-02-19
메타브,metavv,,private_domestic,confirmed,2026-02-20
방구석연구소,banggooso,,private_domestic,confirmed,2026-02-20
완주 학교자율시간 디지털 교육학습자료,,,private_domestic,confirmed,2026-03-17
LITHO MASKLESS,LITHO MASKLESS,,private_domestic,confirmed,2026-03-17
스타트업 메이커_예비창업패키지 도전기,,이대형,other,confirmed,2026-03-25
,,,private_domestic,confirmed,2026-01-26
이우코드업,EWOOCODEUP,진경미,other,confirmed,2026-03-25
마이크로소프트 교육용 마인크래프트,,,private_foreign,confirmed,2026-02-23
,,(주)깨비키즈,private_domestic,confirmed,2026-03-20
,,(주)깨비키즈,private_domestic,confirmed,2026-03-20
지식재산정보검색서비스(KIPRIS),,,public_including_city_province,confirmed,2026-02-27
마음씨앗 기록장,Mindseed Diary,김정준,other,confirmed,2026-03-25
Questi / 질문하마,,㈜비엔제트,private_domestic,confirmed,2026-03-20
,GyopoolAI,,private_domestic,confirmed,2026-01-29
"마이베스트AI글쓰기:과제탐구,동화작가",,가르치는 사람들,private_domestic,confirmed,2026-03-23
,,,private_domestic,confirmed,2026-03-24
위비디오,Wevideo,,private_foreign,confirmed,2026-01-23
아키스케치,Archisketch,,private_domestic,confirmed,2026-02-19
멘티미터(Mentimeter),Mentimeter,,private_foreign,confirmed,2026-03-13
스크래치,Scratch,,private_foreign,confirmed,2026-03-04
경기환경실천소프트웨어(클로버)_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
Stock'er (스토커 : 모의주식투자),,,private_domestic,confirmed,2026-02-23
WBHS_CODE,WBHS_CODE,전병준,other,confirmed,2026-03-23
,,,private_domestic,confirmed,2026-01-26
Net-Class 9.0 / 넷클래스 9.0,Net-Class 9.0,,private_domestic,confirmed,2026-03-04
"레지오 에밀리아 교육 철학을 반영한 아동 주도형 온디바이스 AI 기반 3D 리타겟팅 교구, LogicLab",,주식회사 언페일,private_domestic,confirmed,2026-03-20
친환경 STEAM 융합 교구 '아트봇(ARTBOT)',ARTBOT,,private_domestic,confirmed,2026-03-11
보다,BODA,,private_domestic,confirmed,2026-01-27
브릭셀(BRIXEL)  에디터 페이지(웹 기반 에디터),,㈜에스에프에듀,private_domestic,confirmed,2026-03-18
브릭셀(BRIXEL) 랜딩 페이지,,㈜에스에프에듀,private_domestic,confirmed,2026-03-18
브릭셀(BRIXEL) AI 페이지,,㈜에스에프에듀,private_domestic,confirmed,2026-03-18
브릭셀(BRIXEL) 회로 설계 시뮬레이터 페이지,,(주)에스에프에듀,private_domestic,confirmed,2026-03-18
브릭셀(BRIXEL) 실시간 데이터 로깅 및 분석 페이지,,(주)에스에프에듀,private_domestic,confirmed,2026-03-18
슈베아 드론 코딩,,,private_domestic,confirmed,2026-03-19
,BODASCHOOL,,private_domestic,confirmed,2026-01-28
진로추천 플랫폼 메이저맵,MAJOR MAP,,private_domestic,confirmed,2026-03-19
알툴즈 통합팩 2022,,,private_domestic,confirmed,2026-03-19
한글판 GrafEq,,,private_domestic,confirmed,2026-03-16
가상현실 과학실험,,주식회사 컨텐츠다,private_domestic,confirmed,2026-03-18
아하오호,AhhaOhho,(재)스마일게이트 퓨처랩,private_domestic,confirmed,2026-03-04
IFAS GFAT & 맞춤형진로탐색 프로그램,IFAS GFAT & Customized Career Exploration Program,,private_domestic,confirmed,2026-03-21
UNI NAV,UNINAV,,private_domestic,confirmed,2026-03-16
수학 어드벤처,,이시원,other,confirmed,2026-03-20
,AI Vibe Coding PyDream,,private_domestic,confirmed,2026-03-18
,CRETECUL,,private_domestic,confirmed,2026-02-24
부산스스로학습터(부스터),,,public_including_city_province,confirmed,2026-03-19
스쿨포유(건강장애학생 원격수업),,,public_including_city_province,confirmed,2026-03-19
학교생활 다국어 지원 사운드보드,,한천초등학교,other,confirmed,2026-03-19
ISHS01,ISHS01,최희진,other,confirmed,2026-03-19
티칭허브,,,private_domestic,confirmed,2026-01-29
팝스쿨,,,private_domestic,confirmed,2026-03-10
진학 PEN AI,,,public_including_city_province,confirmed,2026-02-10
,SmartAll,,private_domestic,confirmed,2026-02-10
,CARI,,private_domestic,confirmed,2026-03-18
,IQOOCCA,,private_domestic,confirmed,2026-03-16
천사일지 (보건일지),,,private_domestic,confirmed,2026-02-10
,Classview,,private_domestic,confirmed,2026-03-10
지피톡,GPTalk,에이아카데미 주식회사,private_domestic,confirmed,2026-03-18
무니티,moonity,,private_domestic,confirmed,2026-02-22
키플,KEEPLE,박준범,other,confirmed,2026-03-19
스쿨노트,Schoolnote,박준범,other,confirmed,2026-03-19
학생역량강화 솔루션,,,private_domestic,confirmed,2026-02-09
보은고 GPT,GPT for Boeun High School,이상윤,other,confirmed,2026-03-19
한곽알고리즘저지,HANSUNGCS,여진우,other,confirmed,2026-03-19
미니그로우,minigrow,,private_domestic,confirmed,2026-03-09
,CL VR MIRRORING,,private_domestic,confirmed,2026-03-18
,Prophe,,private_domestic,confirmed,2026-03-12
"현장 데이터기반 학교 운영, 학생관리 SaaS AI 플랫폼",A field data-driven AI SaaS platform for school operations and student management.,,private_domestic,improvement_requested,2026-03-18
디지털역량 어드벤처,,,private_domestic,confirmed,2026-02-25
모두의 진로원픽,ONEPICK,하현철,other,confirmed,2026-03-18
인공지능 제작소,,,private_domestic,confirmed,2026-03-17
,,더코알라,private_domestic,confirmed,2026-03-17
,Holing,,private_domestic,confirmed,2026-03-16
,,,private_domestic,confirmed,2026-03-18
,,,private_domestic,confirmed,2026-03-18
,,,private_domestic,confirmed,2026-03-18
,,,private_domestic,confirmed,2026-03-18
,,,private_domestic,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-03-18
,HOWHYCLASS,,private_domestic,confirmed,2026-01-22
클래스메이트,KlassMate,,private_domestic,confirmed,2026-03-18
구독형 전자책 플랫폼 서비스(전자도서관),,,private_domestic,confirmed,2026-02-27
Aivy(에이비) 창의 서비스 제작 플랫폼,,,private_domestic,confirmed,2026-03-17
스쿨라이프,SCHOOL-LIFE,,private_domestic,confirmed,2026-02-10
Sooup AI (수업AI),Sooup AI,,private_domestic,confirmed,2026-02-20
티키티키,,,private_domestic,confirmed,2026-03-12
,CO:DEEP,,private_domestic,confirmed,2026-03-17
AI로봇집게,AI ROBOT ARM,,private_domestic,confirmed,2026-03-17
AI 패스파인더,,주식회사 크레듀,private_domestic,confirmed,2026-03-17
리트,reat,,private_domestic,confirmed,2026-03-17
고교 연금 수업 플랫폼,,,private_domestic,confirmed,2026-03-10
AI 역사 인물 인터뷰,,,private_domestic,confirmed,2026-03-17
,Phedy Labs,,private_domestic,confirmed,2026-03-13
EP 로그,EP log,최석민,other,confirmed,2026-03-17
드림AI스튜디오,Dream AI Studio,,private_domestic,confirmed,2026-03-16
AI매직포유,AIMagic4U,,private_domestic,confirmed,2026-03-17
Teachers Pay Teachers (TPT)  Service,Teachers Pay Teachers (TPT)  Service,Teacher Synergy LLC dba  Teachers Pay Teachers,private_foreign,confirmed,2026-03-17
Spine,Spine,Esoteric Software LLC,private_foreign,confirmed,2026-03-17
Prezi,Prezi,Prezi Inc.,private_foreign,confirmed,2026-03-17
MyOpenMath,MyOpenMath,MyOpenMath,private_foreign,improvement_requested,2026-03-17
심리검사,,,private_domestic,confirmed,2026-03-11
Algodoo,Algodoo,Algoryx Simulation AB,private_foreign,improvement_requested,2026-03-17
16 Personalities,16 Personalities,NERIS Analytics Limited,private_foreign,confirmed,2026-03-17
e-GIS(이지아이에스),e-GIS,김용현,other,confirmed,2026-02-09
펠로,Felo,,private_foreign,confirmed,2026-02-26
learn.concord.org,learn.concord.org,The Concord Consortium,private_foreign,confirmed,2026-02-27
김킷(Gimkit),김킷(Gimkit),"Gimkit, Inc.",private_foreign,confirmed,2026-02-25
스쿨웍스,SchoolWorks,박주현,other,confirmed,2026-03-17
Epic School,Epic School,Epic Kids Inc.,private_foreign,improvement_requested,2026-02-25
Socrative,Socrative,Showbie Inc.,private_foreign,confirmed,2026-02-23
Music Box Maniacs,Music Box Maniacs,Music Box Maniacs,private_foreign,improvement_requested,2026-02-23
MathType for HTML Editors & MathType for Office Tools,MathType for HTML Editors & MathType for Office Tools,"Maths for More, S.L.U",private_foreign,improvement_requested,2026-02-23
