계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE08048241,기술용역,디지탈교과서 AIDT 구독 계약,2025-10-14,11629250,서울특별시교육청 창문여자고등학교,창문여자고등학교,7010246,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00674752&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08049280,기술용역,2025학년도 체험형 AI교육 프로그램용 버스 임차,2025-10-14,880000,대전광역시교육청 우송고등학교,우송고등학교,7430140,고등학교,대전광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00966596&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08052913,기술용역,2025학년도 신계초등학교 AI융합교육과정 현장체험학습 전세버스 임차용역 계약,2025-10-15,3200000,충청남도천안교육청 신계초등학교,신계초등학교,8151056,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00967607&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08056009,기술용역,2025학년도 신계초등학교 AI융합교육과정 현장체험학습 전세버스 임차용역 계약,2025-10-15,3200000,충청남도천안교육청 신계초등학교,신계초등학교,8151056,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00967607&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08056145,기술용역,2025학년도 신계초등학교 AI융합교육과정 현장체험학습 전세버스 임차용역 계약,2025-10-15,3200000,충청남도천안교육청 신계초등학교,신계초등학교,8151056,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00967607&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08056596,기술용역,2025학년도 신계초등학교 AI융합교육과정 현장체험학습 전세버스 임차용역 계약,2025-10-15,3200000,충청남도천안교육청 신계초등학교,신계초등학교,8151056,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00967607&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08056734,기술용역,2025학년도 신계초등학교 AI융합교육과정 현장체험학습 전세버스 임차용역 계약,2025-10-15,3200000,충청남도천안교육청 신계초등학교,신계초등학교,8151056,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00967607&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08058577,기술용역,창원고등학교 2025학년도 1학년 1학기 AI 디지털교과서(정보) 서비스 공급 용역,2025-10-14,4350000,경상남도교육청 창원고등학교,창원고등학교,9010114,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520695&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08058674,기술용역,창원고등학교 2025학년도 1학년 1학기 AI 디지털교과서(공통수학1) 서비스 공급 용역,2025-10-14,7525000,경상남도교육청 창원고등학교,창원고등학교,9010114,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520720&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08058761,기술용역,창원고등학교 2025학년도 1학년 1학기 AI 디지털교과서(공통영어1) 서비스 공급 용역,2025-10-14,7350000,경상남도교육청 창원고등학교,창원고등학교,9010114,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520736&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
