계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-28b0283e7bc0,물품,인공지능(AI) 비품 구입(노트북),2023-05-15,,강원특별자치도교육청 대동여자중학교,대동여자중학교,,7892043,중학교,강원특별자치도,
-036a2d9109f4,물품,인공지능(AI)교육 선도학교 및 메이커스실 구축학교 운영물품 구입,2023-05-15,,강원특별자치도교육청 평창중학교,평창중학교,,7912045,중학교,강원특별자치도,
-fd2d5aa57bc6,물품,인공지능(AI)교육 선도학교 교구 및 비품 구입(2차),2023-05-11,,강원특별자치도교육청 미로초등학교,미로초등학교,,7872022,초등학교,강원특별자치도,
-21c5b98b648a,물품,2023학년도 교육과정(인공지능 AI) 박람회 프로그램(전기차 위즈오토 체험 부스 외 4),2023-05-10,,강원특별자치도교육청 치악고등학교,치악고등학교,,7801191,고등학교,강원특별자치도,
-5d0599b0f2ca,물품,2023학년도 교육과정(인공지능 AI) 박람회 프로그램(EV3 자율주행 로봇전시 부스) 운,2023-05-10,,강원특별자치도교육청 치악고등학교,치악고등학교,,7801191,고등학교,강원특별자치도,
-84a7c9b839ba,물품,2023학년도 교육과정(인공지능 AI) 박람회 천막 및 테이블세트 대여비,2023-05-10,,강원특별자치도교육청 치악고등학교,치악고등학교,,7801191,고등학교,강원특별자치도,
-9eb1b14d3b2b,물품,[S2B]인공지능교육 선도학교 AI교육용 태블릿PC 풀패키지 구입비 지급,2023-05-10,,강원특별자치도교육청 남원주중학교,남원주중학교,,7822130,중학교,강원특별자치도,
-1c6d2d4fc5e7,물품,2023 인공지능(AI) 선도학교 운영 물품 구입 (태블릿노트북),2023-05-09,,강원특별자치도교육청 황지중앙초등학교,황지중앙초등학교,,7852022,초등학교,강원특별자치도,
-d9462699077b,물품,2023 인공지능(AI) 선도학교 운영 물품 구입(로봇활동)(햄스터 외),2023-05-09,,강원특별자치도교육청 황지중앙초등학교,황지중앙초등학교,,7852022,초등학교,강원특별자치도,
-24b5ff832a79,물품,인공지능(AI)교육 선도학교 노트북 구입,2023-05-02,,강원특별자치도교육청 섬강중학교,섬강중학교,,7822137,중학교,강원특별자치도,
-5e00c669f5ea,물품,2023학년도 정보교육과정 운영 교구(스파이크 프라임 인공지능 AI) 구입,2023-04-28,,강원특별자치도교육청 남평초등학교,남평초등학교,,7922021,초등학교,강원특별자치도,
-668765a9b92e,물품,인공지능 교육과정 운영을 위한 교구 구입,2023-04-25,,강원특별자치도교육청 진주초등학교,진주초등학교,,7872033,초등학교,강원특별자치도,
-2804cc79e21c,물품,(s2b)인공지능(AI) 교육용 로봇 교구 구입,2023-04-21,,강원특별자치도교육청 남산초등학교,남산초등학교,,,,강원특별자치도,
-f72a14a10414,물품,(카드)인공지능 선도학교 운영 물품 및 교구 구입비 지출,2023-04-18,,강원특별자치도교육청 북원초등학교,북원초등학교,,7822102,초등학교,강원특별자치도,
-6fc0f1c6465d,물품,[S2B/비품]SW·AI 교육 교구 구입비 지급(스파이크 프라임 인공지능 AI Pro),2023-04-18,,강원특별자치도교육청 함백초등학교,함백초등학교,,7922032,초등학교,강원특별자치도,
-0e6d2a5ab387,물품,스파이크 프라임 인공지능 AI Pro 구입,2023-04-13,,강원특별자치도교육청 평창중학교,평창중학교,,7912045,중학교,강원특별자치도,
-ec1e08f0f937,물품,연구학교 운영 및 학생 학습활동을 위한 인공지능(AI) 교수.학습 플랫폼 클래스팅 구입,2023-03-30,,강원특별자치도교육청 증산초등학교,증산초등학교,,7922031,초등학교,강원특별자치도,
-6302bf069cc2,물품,"소프트웨어, 인공지능 교육 기자재 구입",2023-02-20,,강원특별자치도교육청 황지중앙초등학교,황지중앙초등학교,,7852022,초등학교,강원특별자치도,
-0198df7e8ed1,물품,유치원 독서 교재교구(인공지능 책 읽어주는 AI로봇 루카 성교육 동화 패키지외 1종) 구입,2023-02-15,,강원특별자치도교육청 사내초등학교,사내초등학교,,7942019,초등학교,강원특별자치도,
-9ceaec18a939,물품,(s2b)인공지능(AI)교육선도학교 운영 교구 구입,2022-12-29,,강원특별자치도교육청 남산초등학교,남산초등학교,,,,강원특별자치도,
-dfe1b2993db2,물품,[카드]2022학년도 SW AI교육 학생 동아리(인공지능로봇제작반) 재료비 지출,2022-12-29,,강원특별자치도교육청 김화공업고등학교,한국국방과학고등학교,,7801240,고등학교,강원특별자치도,
-87abbc4aa291,물품,[s2b] 2022년 정보교육실 구축(인공지능교육운영)/AI교구 구입,2022-12-23,,강원특별자치도교육청 옥천초등학교,옥천초등학교,,7832066,초등학교,강원특별자치도,
-e640a36178bc,물품,인공지능융합교육 운영용품[인공지능키트] 구입,2022-12-22,,강원특별자치도교육청 치악고등학교,치악고등학교,,7801191,고등학교,강원특별자치도,
-09234550e402,물품,[s2b] 2022년 정보교육실 구축(인공지능교육운영)/정보통신공사 계약,2022-12-13,,강원특별자치도교육청 옥천초등학교,옥천초등학교,,7832066,초등학교,강원특별자치도,
