계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
R25TE02583471,물품,문기초등학교병설유치원 자율과제 코딩블럭 교구 및 교재 구입,2025-03-31,4308000,경기도안성교육청 문기초등학교,문기초등학교,7761026,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00348573&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 키즈페이
R25TE02583746,물품,[학과재구조화]AI네트워크과 학과재구조화 홍보 물품 구입,2025-04-01,9913200,경기도교육청 양영디지털고등학교,양영디지털고등학교,7530782,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364888&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,고려기프트주식회사
R25TE02587248,물품,2025년도 AI. 디지털교육을 위한 물품 계약,2025-04-01,5749000,인천광역시교육청 인천광역시동부교육청 인천정각초등학교,인천정각초등학교,7341056,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364841&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,(주)이노텍코리아
R25TE02587773,물품,코스웨어(클래스팅 AI 수학) 구독,2025-04-01,3385800,제주특별자치도교육청 제주시교육지원청 광양초등학교,광양초등학교,9296042,초등학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00369442&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
R25TE02588190,물품,[학과재구조화]AI네트워크과 학과재구조화 홍보 물품 구입,2025-04-01,9913200,경기도교육청 양영디지털고등학교,양영디지털고등학교,7530782,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364888&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,고려기프트주식회사
R25TE02588358,물품,[학과재구조화]AI네트워크과 학과재구조화 홍보 물품 구입,2025-04-01,9913200,경기도교육청 양영디지털고등학교,양영디지털고등학교,7530782,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364888&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,고려기프트주식회사
R25TE02588759,물품,[학과재구조화]AI네트워크과 학과재구조화 홍보 물품 구입,2025-04-01,9913200,경기도교육청 양영디지털고등학교,양영디지털고등학교,7530782,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364888&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,고려기프트주식회사
R25TE02589330,물품,[학과재구조화]AI네트워크과 학과재구조화 홍보 물품 구입,2025-04-01,9913200,경기도교육청 양영디지털고등학교,양영디지털고등학교,7530782,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364888&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,고려기프트주식회사
R25TE02589362,물품,코스웨어(클래스팅 AI 수학) 구독,2025-04-01,3385800,제주특별자치도교육청 제주시교육지원청 광양초등학교,광양초등학교,9296042,초등학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00369442&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
R25TE02592932,물품,AI드론교실 운영을 위한 기자재 구매,2025-04-01,5236000,서울특별시교육청 경희여자고등학교,경희여자고등학교,7010127,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00371087&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,쿼드
R25TE02595338,물품,2025년 AI실 구축을 위한 이동형 전자칠판 구입 계약,2025-04-02,11400000,충청남도교육청 충청남도천안교육지원청 천안희망초등학교,천안희망초등학교,8151269,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00371324&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,스마트인포 주식회사
R25TE02600926,물품,"2025학년도 1차 정기간행물(13종, 2024.04~2026.03) 구독",2025-04-02,1910000,경기도교육청 백운고등학교,백운고등학교,7530069,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00374008&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 나이스북
R25TE02623812,물품,2025년도 AI. 디지털교육을 위한 물품 계약,2025-04-01,5749000,인천광역시교육청 인천광역시동부교육청 인천정각초등학교,인천정각초등학교,7341056,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00364841&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,(주)이노텍코리아
R25TE02625081,물품,2025년 AI실 구축을 위한 이동형 전자칠판 구입 계약,2025-04-02,11400000,충청남도교육청 충청남도천안교육지원청 천안희망초등학교,천안희망초등학교,8151269,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00371324&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,스마트인포 주식회사
R25TE02629614,물품,"2025학년도 1차 정기간행물(13종, 2024.04~2026.03) 구독",2025-04-02,1910000,경기도교육청 백운고등학교,백운고등학교,7530069,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00374008&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 나이스북
R25TE02631323,물품,풍무고 수업 및 평가활용 chat GPT 이용권 구입,2025-04-02,1990000,경기도교육청 풍무고등학교,풍무고등학교,7530621,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00376841&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 유씨드
R25TE02632106,물품,AI드론교실 운영을 위한 기자재 구매,2025-04-01,5236000,서울특별시교육청 경희여자고등학교,경희여자고등학교,7010127,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00371087&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,쿼드
