# 공교육 에듀테크 활용 현황 — 자료원별·월별 수집 현황 (2020.01~2026.09)
# 숫자는 그달 그 자료원에서 '에듀테크로 판정된' 계약 건수입니다. 원자료 전체 건수가 아닙니다.
"# 빈 칸에는 왜 비었는지 아래 '비고'에 적었습니다. 사유는 우리 수집 파일의 모양으로 추정한 것이며, 원천 사이트에서 그달을 직접 확인한 것이 아닙니다."

자료원,합계,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02,2026.03,2026.04,2026.05,2026.06,2026.07,2026.08,2026.09
S2B 학교장터,155488,477,940,506,2793,1486,1267,1538,1090,2613,2594,2529,2882,1544,2087,1137,1513,1005,1009,847,583,1346,2059,2754,3013,1490,1680,1001,1277,1221,975,976,791,1524,1861,2235,2423,1032,1501,1058,1308,1341,1286,1332,1128,1789,1979,2130,2065,1198,1301,1182,2468,2299,1745,1718,1299,1921,2231,2403,2864,1086,1702,2032,3327,3234,3102,2508,1802,3438,2919,3161,3479,1431,1527,3198,5971,4448,3898,2954,2627,
서울교육청 계약공개,60914,3,14,205,516,245,351,311,212,445,529,595,519,396,774,566,436,290,306,375,331,333,521,588,2633,1523,2060,1210,976,915,870,987,721,843,788,1175,1336,639,998,1165,763,774,895,1132,964,800,750,1057,1018,597,,1183,1048,869,706,895,734,703,812,1005,1417,625,1046,1142,806,688,571,734,557,886,548,665,1009,720,853,1174,917,741,664,746,,
경기교육청 계약공개,22259,,,82,303,272,363,133,69,267,431,457,452,1,2,219,257,175,234,182,116,217,300,295,342,,1,239,293,243,269,260,152,251,301,316,358,,,276,343,382,415,285,272,373,422,436,425,,1,402,746,559,397,253,206,333,437,472,534,,2,5,30,480,1,1,10,187,,,7,,27,1534,721,875,860,737,513,448
나라장터,20757,179,829,418,303,160,199,147,110,133,143,177,213,184,1079,514,199,152,171,123,95,133,144,140,270,265,1188,544,190,147,150,142,136,112,118,139,212,254,1151,569,154,154,168,167,152,147,125,167,165,192,1023,423,265,163,160,117,89,63,79,107,168,107,909,489,235,258,140,94,69,75,54,84,180,182,1048,541,163,92,92,108,53,4
충남교육청 계약공개,10756,,,56,163,133,88,80,67,115,101,162,120,45,104,106,106,65,82,94,95,131,266,327,331,245,165,131,173,124,152,170,118,104,170,323,416,247,229,136,103,104,110,183,133,123,162,141,128,152,132,149,148,191,144,199,111,95,92,101,118,122,127,113,96,80,115,167,82,103,76,95,97,99,100,138,184,99,92,212,,
인천교육청 계약공개,10044,1,1,95,114,125,83,104,42,92,125,138,101,26,60,175,174,129,154,104,50,86,119,130,181,101,96,181,152,131,120,102,63,87,117,143,114,3,1,149,142,168,125,132,75,108,139,101,5,74,85,245,200,179,117,123,110,112,111,170,170,93,109,318,218,150,142,127,100,143,107,132,152,94,86,468,314,249,255,127,,
충북교육청 계약공개,9824,10,,174,174,68,83,146,125,98,109,107,105,46,43,184,140,40,35,125,99,56,120,107,85,41,32,191,130,62,54,122,92,49,63,84,69,34,25,94,52,46,57,151,131,112,107,106,95,47,53,184,192,301,215,170,96,93,108,117,122,81,73,208,238,128,225,299,232,206,139,144,96,52,61,362,436,215,223,427,3,
대구교육청 계약공개,8137,17,28,80,96,90,77,86,74,145,151,202,125,17,36,118,130,101,80,64,47,97,146,161,147,48,73,147,104,78,65,83,46,97,102,137,139,19,33,111,129,90,62,81,50,91,119,99,132,48,46,135,209,154,104,94,89,145,168,195,160,52,57,157,143,127,78,88,50,105,95,92,102,32,47,212,139,129,167,150,93,25
전남교육청 계약공개,6570,1,,14,67,74,81,118,59,130,93,265,179,98,97,60,44,47,56,42,31,58,95,192,138,82,172,51,72,55,52,64,69,109,144,169,122,85,122,45,43,76,66,79,56,98,119,154,96,68,46,59,135,79,54,65,40,68,63,94,91,44,24,100,93,114,89,55,42,84,67,69,137,51,11,109,164,112,66,38,,
제주교육청 계약공개,5779,,2,47,85,53,81,69,44,119,145,88,78,32,83,80,110,64,48,62,60,52,109,148,125,85,62,76,65,30,32,63,32,82,114,99,138,72,57,97,104,97,48,58,42,66,69,69,77,55,44,74,87,51,71,95,58,64,81,51,73,77,52,109,102,83,55,78,59,79,51,67,87,63,36,149,129,50,70,61,,
울산교육청 계약공개,3400,,,,1,,,2,23,142,133,68,29,,,64,52,47,35,21,18,20,98,41,2,,1,11,12,33,52,125,61,49,81,181,178,120,71,85,28,21,22,36,23,37,27,39,28,44,48,70,41,33,23,23,23,23,21,13,31,48,80,86,27,43,26,26,23,23,35,25,34,30,62,79,47,27,49,95,20,5
경남교육청 계약공개,3398,,,7,28,37,30,39,26,17,27,42,51,10,10,20,7,6,5,17,7,15,18,43,38,8,8,17,7,37,21,8,9,14,16,27,42,13,14,13,12,3,2,2,3,5,7,2,3,5,13,22,18,14,7,,,,,7,20,9,28,79,61,40,39,21,21,28,12,24,41,19,26,551,344,286,285,263,185,137
세종교육청 계약공개,3243,,1,36,22,42,27,11,14,20,18,24,19,15,24,100,65,55,45,18,18,23,23,38,28,20,25,100,30,35,40,26,24,36,40,53,50,19,20,99,28,47,24,21,42,39,53,46,45,26,23,103,60,73,36,33,23,,,,,,12,105,45,105,45,43,29,15,10,73,57,33,11,174,156,117,117,70,1,
경북교육청 계약공개,3154,,,,,,,,,1,,,3,,1,25,38,27,26,19,16,29,51,52,34,,,13,45,39,45,28,37,51,70,65,96,,,32,30,77,72,64,77,121,78,84,83,,1,51,94,54,62,32,16,39,44,29,42,,,23,45,85,117,54,20,43,30,38,43,,,69,118,30,135,214,93,4
부산교육청 계약공개,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,1,16,,,90,165,120,160,156,83,88,114,125,158,3,14,106,81,81,89,134,54,80,105,93,174,4,9,142,187,123,164,134,19,1
광주교육청 계약공개,3032,,,,,,,,,,,,,,,,,,,,1,1,,28,16,26,86,33,20,15,22,35,24,22,24,23,49,45,106,51,22,16,40,50,44,57,55,59,56,24,103,35,35,117,129,33,3,,12,37,63,133,191,55,35,62,51,48,27,38,25,25,44,190,112,67,79,69,35,73,47,9
강원교육청 계약공개,2874,,,10,46,28,39,33,32,24,,,,,,31,46,27,27,25,22,27,,27,221,139,82,20,52,43,21,1,12,69,92,125,128,75,45,29,36,45,40,30,49,88,37,,,,,,,,,,,,,,,,,4,3,3,4,,9,63,98,118,108,67,50,103,244,71,6,,,
전북교육청 계약공개,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,20,35,58,11,15,18,42,44,47,53,34,35,54,37,67,32,51,38,71,34,21,32,28,15,28,57,85,36,42,29,60,42,33,24,11,27,27,44,55,41,14,14,63,30,20
나라장터 입찰공고,1700,32,3,6,13,9,27,29,19,23,36,77,54,40,16,6,23,21,19,28,22,8,16,51,81,53,33,6,37,34,35,33,19,33,33,56,53,33,,4,8,15,23,27,27,14,39,29,18,22,11,8,18,22,21,21,6,6,21,24,21,17,7,2,2,11,9,16,16,9,14,11,12,8,5,1,2,4,4,19,9,
대전교육청 계약공개,1076,,,2,16,11,7,8,6,20,14,7,8,3,5,2,5,8,9,5,7,7,31,29,100,20,15,4,5,5,4,13,8,12,11,12,11,3,6,11,12,6,8,14,11,14,15,14,13,11,7,23,14,14,14,20,11,10,23,23,13,5,10,18,24,66,20,14,13,16,16,17,12,8,5,15,21,15,18,11,7,5
S2B 구매기록,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,,,,4,1,,,,3,2,2,3,,2,3,1,2,2,1,2,3,4,3,1,,3,4,4,8,6,,

# 비고 — 빈 칸의 사유
자료원,빈 구간,달 수,사유
S2B 학교장터,2026.09,1,아직 공개 전(자료 기준일 이후)
서울교육청 계약공개,2024.02,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
서울교육청 계약공개,2026.08~2026.09,2,아직 공개 전
경기교육청 계약공개,2020.01~2020.02,2,수집 자료가 그 시기부터 시작함(원천 보유 여부 미확인 · 가장 이른 자료 2020.02)
경기교육청 계약공개,2022.01,1,원자료는 받았으나 그달 에듀테크 계약이 없었음
경기교육청 계약공개,2023.01~2023.02,2,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
경기교육청 계약공개,2024.01,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
경기교육청 계약공개,2025.01,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
경기교육청 계약공개,2025.10~2025.11,2,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
경기교육청 계약공개,2026.01,1,원자료는 받았으나 그달 에듀테크 계약이 없었음
충남교육청 계약공개,2020.01~2020.02,2,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
충남교육청 계약공개,2026.08~2026.09,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
인천교육청 계약공개,2026.08~2026.09,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
