회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,무안희망중학교,1인수의,물품,교원 에듀테크 활용 역량 강화 연수 운영을 위한 물품(도서) 구입,2026-06-05,342000,(유)한솔문고(남악지점),에듀테크
2026,영암여자중학교,1인수의,물품,2026년 1차 에듀테크 소프트웨어(패들렛) 구입,2026-06-08,60000,스쿨잼,에듀테크
2026,매성중학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(타입캐스트) 학교장터 추가 구입,2026-06-05,150000,주식회사 레드포인트,에듀테크
2026,매성중학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(스카이워크) 학교장터 추가 구입,2026-06-05,424000,주식회사 교육의정석,에듀테크
2026,매성중학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(AI 투닝 프로 Tooning P,2026-06-05,61000,스쿨메이트,에듀테크
2026,매성중학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(다했니) 학교장터 추가 구입,2026-06-05,495000,에듀지원주식회사,에듀테크
2026,벌교초등학교,1인수의,물품,2026. AI 활용 에듀테크 구입(블로),2026-06-05,348000,주식회사 비모소프트,에듀테크
2026,벌교초등학교,1인수의,물품,[카드] 2026. AI 활용 에듀테크 구입((issamGPT),2026-06-05,528000,주식회사 아이스크림미디어,에듀테크
2026,벌교초등학교,1인수의,물품,(s2b) 2026. AI 활용 에듀테크 구입(아트봉봉),2026-06-05,864000,위드플러스,에듀테크
2026,벌교초등학교,1인수의,물품,(s2b) 2026. AI 활용 에듀테크 구입(패들렛 외 1종),2026-06-05,2884000,클라스온 주식회사,에듀테크
2026,벌교초등학교,1인수의,물품,(s2b) 2026. AI 활용 에듀테크 구입(토토수학 외 1종),2026-06-05,376000,주식회사 에누마코리아,에듀테크
2026,아산초등학교,1인수의,물품,[S2B]2026. 전남혁신(울림)학교 AI 에듀테크 라이센스 구입(런웨이 AI),2026-06-04,700000,비케이 에듀,에듀테크
2026,아산초등학교,1인수의,물품,[S2B]2026. 전남혁신(울림)학교 AI 에듀테크 라이센스 구입(미리캔버스),2026-06-04,140000,주식회사 교육의정석,에듀테크
2026,순천승남중학교,1인수의,용역,[S2B] 2026. 영어과 필요 에듀테크(ChatGPT 플러스 챗봇) 구입,2026-06-01,350000,위드테크,에듀테크
2026,광양중동초등학교,1인수의,물품,2026. AI코스웨어 및 디지털솔루션 에듀테크(토도영어) 구독료 지출,2026-06-01,440000,주식회사 에누마코리아,에듀테크
2026,무안행복초등학교,1인수의,용역,2026. 초등 2030교실 지속형 AI·에듀테크 구독료 지급,2026-05-29,526000,올댓스쿨 주식회사,에듀테크
