회계연도,기관명,계약명,계약일,계약금액,계약방법,키워드
2022,서강중학교,서강중학교 아지트프로젝트 시설공사 관급자재 구입(냉난방기),2023-01-18,9336540,1인수의,DroneBlocks Enterprise Membership
2022,서강중학교,서강중학교 아지트프로젝트 시설공사 관급자재 구입(금속창호),2023-01-16,18179870,1인수의,DroneBlocks Enterprise Membership
2022,문흥중학교,(G2B) 음악실 환경개선사업 비품(학생용 책상) 구입,2023-01-16,3960000,1인수의,DroneBlocks Enterprise Membership
2022,문흥중학교,(G2B) 음악실 환경개선사업 비품(작업용 의자) 구입,2023-01-16,3120000,1인수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,2022년 신관동 외부창호 교체공사,2023-01-13,130346000,2인이상수의,DroneBlocks Enterprise Membership
2022,첨단고등학교,[G2B]드라이비트 해소 및 기타시설공사 관급자재 구매,2023-01-13,89060000,1인수의,DroneBlocks Enterprise Membership
2022,첨단고등학교,[G2B]드라이비트 해소 및 기타시설공사 재해예방 기술지도 용역비 지출,2023-01-13,1265000,1인수의,DroneBlocks Enterprise Membership
2022,금파공업고등학교,본관동 화장실개선 건축공사 정산 차액분 지급(원인),2023-01-12,4137100,1인수의,DroneBlocks Enterprise Membership
2022,광일고등학교,장애인 편의시설 적정설치 사업 추진(설계용역),2023-01-09,2282000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,고교학점제 공간조성 관급자재(냉난방기외20종) 구입,2023-01-04,25939640,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,365 스터디룸 조성공사시 관급자재(냉난방기) 구입,2023-01-02,35976770,1인수의,DroneBlocks Enterprise Membership
2022,살레시오여자고등학교,본관 앞 지중 배수로 및 현관 바닥 개선공사 감리용역,2023-01-02,1200000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성중학교,본관동 내진보강공사 감리용역(구조)비 지출,2022-12-30,5831000,1인수의,DroneBlocks Enterprise Membership
2022,동아여자고등학교,고교학점제 학교공간조성 전기·통신 감리 용역 시행,2022-12-30,3494700,1인수의,DroneBlocks Enterprise Membership
2022,전남공업고등학교,[G2B] 2022학년도 화공과 기자재(증류수제조기 외 1종) 구입,2022-12-29,6760000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,고교학점제 공간조성공사시 공기순환기 구입,2022-12-28,12485550,1인수의,DroneBlocks Enterprise Membership
2022,운리초등학교,운리 상상 공작터 방염 블라인드 설치,2022-12-28,3194400,1인수의,DroneBlocks Enterprise Membership
2022,광주동성중학교,본관동 내진보강공사 재해예방기술지도비 지출,2022-12-28,1320000,1인수의,DroneBlocks Enterprise Membership
2022,성덕고등학교,성덕고등학교 공간조성사업 비품(칠판 및 유리보드칠판)비 지출,2022-12-23,53994000,1인수의,DroneBlocks Enterprise Membership
2022,문성고등학교,문성고등학교 도서관 증축 통신공사 시행,2022-12-22,7053000,2인이상수의,DroneBlocks Enterprise Membership
2022,문성고등학교,문성고등학교 도서관 증축 소방공사 시행,2022-12-22,3896360,2인이상수의,DroneBlocks Enterprise Membership
2022,문성고등학교,문성고등학교 도서관 증축공사 감리용역,2022-12-22,3500000,1인수의,DroneBlocks Enterprise Membership
2022,문성고등학교,문성고등학교 도서관 증축공사 시행,2022-12-21,186733800,2인이상수의,DroneBlocks Enterprise Membership
2022,문성고등학교,문성고등학교 도서관 증축 전기공사 시행,2022-12-21,27603170,2인이상수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,2022년 석면텍스 및 조명교체공사(건축) 감리용역,2022-12-13,4972500,1인수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,2022년 석면텍스 및 조명교체공사(전기) 감리용역,2022-12-13,4912200,1인수의,DroneBlocks Enterprise Membership
2022,광주효동초등학교,돌봄교실 환경개선 비품(텔레비전) 구입,2022-12-13,2540000,1인수의,DroneBlocks Enterprise Membership
2022,광일고등학교,365스터디룸 설계용역 실시,2022-12-08,47953950,1인수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,2022년 석면철거공사 감리용역,2022-12-02,20044370,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시교육청,광주광역시학생교육원 EIC동 실개조 통신공사(2022년 연부액),2022-12-28,10000000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시교육청,광주광역시학생교육원 EIC동 실개조 전기공사(2022년 연부액),2022-12-28,10000000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시교육청,광주광역시학생교육원 EIC동 실개조 소방공사(2022년 연부액),2022-12-28,8800000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시서부교육지원청,"진월초 등 5교(금당중, 월곡중, 유덕중, 효천초) 조경시설물설치 및 기타시설공사 재해예방 기술지도 용역",2022-12-28,1056000,1인수의,DroneBlocks Enterprise Membership
2022,광주광역시서부교육지원청,어등초 천장보수 및 기타 소방공사(1차),2022-12-27,2000000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시서부교육지원청,풍영초 본관후관 서편 화장실 개선 전기공사(1차),2022-12-23,1500000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시서부교육지원청,영천초 본관동 화장실 보수 기계설비공사,2022-12-19,174527600,2인이상수의,DroneBlocks Enterprise Membership
2022,광주광역시서부교육지원청,진만초 석면 지정폐기물처리용역(1차),2022-12-01,2000000,2인이상수의,DroneBlocks Enterprise Membership
2022,광주전자공업고등학교,커뮤니티실 단열고정창 설치공사비 지출,2023-02-28,9776000,1인수의,DroneBlocks Enterprise Membership
2022,서강고등학교,행정실 및 교무실 외 전선배관 정리 및 콘센트 설치 전기공사,2023-02-28,7850000,1인수의,DroneBlocks Enterprise Membership
2022,전남공업고등학교,전남공고 재구조화 카페베이커리과 설비공사 관련 석면해체 공사 실시,2023-02-28,6270000,1인수의,DroneBlocks Enterprise Membership
2022,서강고등학교,본관동 및 실습동 동파배관 누수 수리작업,2023-02-28,4587000,1인수의,DroneBlocks Enterprise Membership
2022,매곡초등학교,시설물 수선공사(소방펌프 교체공사),2023-02-28,3377000,1인수의,DroneBlocks Enterprise Membership
2022,서강고등학교,조회대 옥상 보수공사,2023-02-28,3264000,1인수의,DroneBlocks Enterprise Membership
2022,대성여자고등학교,(G2B)정보실 교무 업무 지원을 위한 노트북 구입(2대),2023-02-28,2720000,1인수의,DroneBlocks Enterprise Membership
2022,광주효덕초등학교,운동장 개선을 위한 살포용 소금 구입,2023-02-28,2400000,1인수의,DroneBlocks Enterprise Membership
2022,전남공업고등학교,전남공고 재구조화 카페베이커리과 설비공사 관련 석면감리 실시,2023-02-28,2000000,1인수의,DroneBlocks Enterprise Membership
2022,수완초등학교,식생활관 소모품 추가 구입,2023-02-28,1713800,1인수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,교사연구실 및 행정실 전화통신선로 보수공사,2023-02-28,1298000,1인수의,DroneBlocks Enterprise Membership
2022,문흥중학교,행정실 외 2실 정보화기기 관련 소모품 구입,2023-02-28,1217700,1인수의,DroneBlocks Enterprise Membership
2022,전남공업고등학교,전남공고 재구조화 카페베이커리과 설비공사 관련 석면농도측정 용역,2023-02-28,1150000,1인수의,DroneBlocks Enterprise Membership
2022,만호초등학교,학교운동장 정비를 위한 소금 구입,2023-02-28,1100000,1인수의,DroneBlocks Enterprise Membership
2022,설월여자고등학교,2022학년도 3D프린터 사용환경개선 물품구입(고글 외 4종),2023-02-28,1072000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육중학교,운동장 차양막 설치공사,2023-02-27,54022280,1인수의,DroneBlocks Enterprise Membership
2022,광주체육고등학교,[본예산/배드민턴부] 배드민턴부 셔틀콕 구입비 지급,2023-02-27,6450000,1인수의,DroneBlocks Enterprise Membership
2022,수완초등학교,[S2B]식생활관 소모품 구입,2023-02-27,5815100,1인수의,DroneBlocks Enterprise Membership
2022,문화중학교,"교무실,1,2,3학년 연구실 씽크대 교체 및 교무실 전기온수기 교체",2023-02-27,3679500,1인수의,DroneBlocks Enterprise Membership
2022,광주숭일고등학교,365스터디룸 조성사업 기자재(스탠드형모니터) 구매비 지출,2023-02-27,3000000,1인수의,DroneBlocks Enterprise Membership
2022,광주체육고등학교,[G2B]시청각실(도담마루) 방송용 캠코더 구입,2023-02-27,1960000,1인수의,DroneBlocks Enterprise Membership
2022,본촌초등학교,[S2B]식생활교육관 소모품 구입 (1),2023-02-27,1818700,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,행정실 선진화사업 통신망 개선공사,2023-02-27,1760000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,홈베이스 구축 비품(소파패드) 구입,2023-02-27,1600000,1인수의,DroneBlocks Enterprise Membership
2022,문흥중학교,각종 비품 운반 및 폐기물 처리 실시,2023-02-27,1430000,1인수의,DroneBlocks Enterprise Membership
