계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024040002058,물품,돌봄교실 및 AI실 신발장 바닥 타일 설치 계약,2024-04-01,1487200,경기도교육청 경기도군포의왕교육지원청 송안초등학교,송안초등학교,7642143,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024040046A_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,스쿨웍스
2024040003171,물품,2024학년도 모락고등학교 AI활용 수학학습 프로그램 구매 계약,2024-04-01,6000000,경기도교육청 모락고등학교,모락고등학교,7531108,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024040074D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,마타에듀 주식회사
2024040003798,물품,2024. 동인초등학교 클래스팅 AI러닝 사용권 구매,2024-04-02,4950000,충청북도괴산교육청 동인초등학교,동인초등학교,8092022,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202404008C9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 씨티
2024040004616,물품,2024년 수업혁신 메타버스 관련 교재 구입,2024-04-01,3300000,충청남도교육청 삽교고등학교,삽교고등학교,8140088,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240400B12_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 아트텔링
2024040006997,물품,강하중학교 디지털선도학교 비품(체육과코스웨어관련 기자재) 구매 계약,2024-04-01,8360000,경기도양평교육청 강하중학교,강하중학교,7731005,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024040116B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 에듀건
2024040007107,물품,2024학년도 도서관 정기간행물 구독 계약,2024-04-02,1637100,경기도교육청 수성고등학교,수성고등학교,7530091,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240401190_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 나이스북
2024040028398,물품,2024학년도 광주소프트웨어마이스터고등학교 체육복 구매 계약,2024-04-02,4993000,광주광역시교육청 광주소프트웨어마이스터고등학교,광주소프트웨어마이스터고등학교,7140392,고등학교,전남광주통합특별시(광주),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024030A00D_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,영무sp
2024040032000,물품,생성형 AI 이미지 교육을 위한 소프트웨어 구입 건,2024-04-03,1800000,경기도교육청 안산디자인문화고등학교,안산디자인문화고등학교,7530991,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240401F37_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 후니테크
2024040032110,물품,2024학년도 하이러닝 선도학교 운영 관련 에듀테크 도구(패들렛) 구입,2024-04-02,3250000,경기도교육청 마석고등학교,마석고등학교,7530972,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240401F9F_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 모노플로우
2024040032428,물품,2024 인공지능 활용 스마트학습에 따른 학습기 대여 및 온라인 수강권 구입,2024-04-02,16353000,제주특별자치도교육청 제주시교육지원청 추자중학교,추자중학교,9296031,중학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240402060_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 한국교육네트워크
