계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
울산-f57dedd3ca89,물품,2021학년도 원격 수업 및 교실 활용 수업에 필요한 충전함 구입(G2B 나라장터),2021-03-24,3518900,울산광역시교육청 옥현초등학교,옥현초등학교,도원산업,7501059,초등학교,울산광역시,
울산-ee1b3725973c,물품,2020학년도 태블릿 PC 충전보관함 구입비 지출,2020-11-23,1799660,울산광역시교육청 다운초등학교,다운초등학교,부산조달청,7491100,초등학교,울산광역시,
울산-fd88d9c69a72,물품,2020학년도 메이커교육의 운영을 위한 물품 구입(태블릿 및 충전함),2020-11-18,52386000,울산광역시교육청 상북초등학교,상북초등학교,삼성전자 주식회사,7501224,초등학교,울산광역시,
울산-a8a75bfed191,물품,교과중점학교 운영을 위한 물품(노트북 충전보관함)구입,2020-10-22,2200000,울산광역시교육청 우신고등학교,우신고등학교,(주)유니컴,7480074,고등학교,울산광역시,
울산-8ba3a57e1006,물품,2020학년도 염포초등학교 메이커실 운영물품(노트북충전함) 구입비 지급,2020-10-07,2570000,울산광역시교육청 염포초등학교,염포초등학교,스마트원,7491128,초등학교,울산광역시,
울산-e6520916ae15,물품,스마트패드 충전함 충전케이블 교체,2020-09-24,22000,울산광역시교육청 평산초등학교,평산초등학교,티에스피정보기술,7491139,초등학교,울산광역시,
울산-4bf77a755231,물품,원격수업용 기자재 구입(충전보관함),2020-09-18,2750000,울산광역시교육청 울주명지초등학교,울주명지초등학교,듀이몰,7501095,초등학교,울산광역시,
울산-0bea7ba4d36e,물품,어학실습실 구축 태블릿 충전기 조달 구입,2020-09-15,2800000,울산광역시교육청 강동고등학교,강동고등학교,도원산업,7480237,고등학교,울산광역시,
울산-cb4e9b415f38,물품,(분교) 태블릿PC 충전보관함 구입,2020-09-04,1198360,울산광역시교육청 상북초등학교,상북초등학교,주식회사 케이에스리테일,7501224,초등학교,울산광역시,
울산-983ec472c00f,물품,현장밀착형 학교 현안사업 태블릿 커버 및 필름 구입,2021-11-10,4000000,울산광역시교육청 청량초등학교,청량초등학교,아이티솔루션,7501100,초등학교,울산광역시,
울산-cb7993e81fa5,물품,2021학년도 그린스마트 미래학교 환경조성 태블릿PC 북커버 구입,2021-10-21,3199300,울산광역시교육청 화진중학교,화진중학교,네이버파인낸셜 주식회사,7491178,중학교,울산광역시,
울산-d6108c444d5e,물품,노트북 랜포트(리어커버) 교체,2020-10-27,38000,울산광역시교육청 유곡중학교,유곡중학교,삼성전자서비스(주),7491167,중학교,울산광역시,
울산-c1601b3448e6,물품,현장밀착형 학교현안사업 미디어 컨텐츠 제작 스튜디오 구축 장비(드론) 구매 비용 지출,2022-11-02,1655410,울산광역시교육청 청량중학교,청량중학교,쿠팡(주),7501036,중학교,울산광역시,
울산-db0c25b15ae2,물품,본관동 그린스마트미래학교 리모델링 및 내진보강공사 - 관급자재(방송장비 - 통신케이블어셈블,2023-04-01,5612000,울산광역시교육청 현대청운중학교,현대청운중학교,부산지방조달청,7491174,중학교,울산광역시,
울산-dbebc7873310,물품,현장밀착형 컴퓨터실 환경개선(전산 네트워크 케이블 교체 작업) 실시,2021-10-27,1760000,울산광역시교육청 함월고등학교,함월고등학교,주식회사 컴넷,7480094,고등학교,울산광역시,
울산-09a8efa51935,물품,노트북용 메모리 및 HDMI 케이블 구입,2020-10-22,65000,울산광역시교육청 외솔중학교,외솔중학교,(주)삼성하이테크시스템,7491206,중학교,울산광역시,
울산-1afbac97eca6,물품,노트북 주변용품(USB 허브 및 HDMI케이블)구입,2020-09-09,140400,울산광역시교육청 방어진중학교,방어진중학교,11번가(주),7491158,중학교,울산광역시,
울산-a45efa859451,물품,태블릿 키보드 케이스 물품 구입,2026-07-15,3152100,울산광역시교육청 송정초등학교,송정초등학교,주식회사 교육의정석,7491121,초등학교,울산광역시,
울산-bef9d45906f8,물품,학생용 태블릿(갤럭시탭S9 FE+) 키보드 케이스 구입,2026-06-09,1778500,울산광역시교육청 성광여자고등학교,성광여자고등학교,네이버,7480033,고등학교,울산광역시,
울산-6abca78d3314,물품,태블릿 키보드케이스 교체비용 지급,2026-03-24,2815200,울산광역시교육청 농소중학교,농소중학교,엔정보기술,7491151,중학교,울산광역시,
울산-314396a19ba9,물품,태블릿PC 키보드 케이스 및 전산 소모품 구입,2026-02-20,3000000,울산광역시교육청 달천중학교,달천중학교,S2B 학교장터,7491153,중학교,울산광역시,
울산-ab0bcbc3a8e4,물품,2026학년도 신입생 스마트기기 태블릿 보호필름 및 키보드 교체,2025-12-16,2465400,울산광역시교육청 현대중학교,현대중학교,(주)엔정보기술,7491173,중학교,울산광역시,
울산-9b1d887d69ce,물품,학생용 스마트기기 부속품 구입(태블릿PC 키보드 및 케이스),2025-09-25,4405500,울산광역시교육청 동부초등학교,동부초등학교,(주)세명시스템,7491103,초등학교,울산광역시,
울산-12b515a2a0e5,물품,2024년 태블릿 용품 구입(키보드 케이스),2024-11-18,3445500,울산광역시교육청 장검중학교,장검중학교,The-K한국교직원공제회 S2B,7501225,중학교,울산광역시,
울산-a59110698f34,물품,2023학년도 학생용 스마트기기(태블릿컴퓨터) 부속품 구입비 지급(무선키보드 및 케이스),2024-02-22,1815000,울산광역시교육청 청솔초등학교,청솔초등학교,(주)엔정보기술,7501067,초등학교,울산광역시,
울산-3a7f7e05bcd9,물품,업무용 노트북 받침대 및 무선키보드 구입비,2023-02-13,2010100,울산광역시교육청 범서중학교,범서중학교,네이버파이낸셜 주식회사,7501026,중학교,울산광역시,
울산-5c7fb9795451,물품,원격수업용 기자재 추가 구입 (무선키보드),2020-12-02,1153870,울산광역시교육청 삼신초등학교,삼신초등학교,(주)이베이코리아(지마켓),7501048,초등학교,울산광역시,
울산-14d299604d0b,물품,교사 노트북 키보드 교체,2020-10-14,130000,울산광역시교육청 구영중학교,구영중학교,(주)하이텔레서비스울산센터,7501025,중학교,울산광역시,
울산-689dbafbffc3,물품,SW/Science 융합 해커톤 학생용 기념 물품(실리콘키보드) 구입,2020-10-14,209300,울산광역시교육청 언양고등학교,언양고등학교,(주)이베이코리아,7480188,고등학교,울산광역시,
