계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE00072443,물품,2024학년도 재능고 AI헬스케어학과 기자재(버츄얼메이트 외 1종) 구입,2024-12-30,27490000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202432095F2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00073879,물품,2024학년도 재능고 AI헬스케어학과 기자재(오실로스코프) 구입,2025-01-03,11500000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00005761&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00102209,물품,발곡초등학교 코딩교육 교구 보수 및 교체 ,2025-01-08,2800000,경기도의정부교육청 발곡초등학교,발곡초등학교,7561025,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00006281&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00104757,물품,발곡초등학교 코딩교육 교구 보수 및 교체 ,2025-01-08,2800000,경기도의정부교육청 발곡초등학교,발곡초등학교,7561025,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00006281&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00104881,물품,2024학년도 재능고 AI헬스케어학과 기자재(실습대) 구입,2024-12-30,20736000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20243209932_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00105067,물품,2024학년도 재능고 AI헬스케어학과 기자재(칠판보조장) 구입,,20000000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20243209A81_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00108532,물품,"2024 동일여고 AI 융합교실, 틈새공간, 교사휴게실, 학부모실 등 기자재 구입",2025-01-10,31000000,서울특별시교육청 동일여자고등학교,동일여자고등학교,7010156,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00009686&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00149690,물품,2024학년도 산학일체형 도제학교 인공지능자동차과 실습 기자재 구입,2025-01-09,41560000,경기도교육청 부천공업고등학교,부천공업고등학교,7530254,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00004057&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00152933,물품,"2024 동일여고 AI 융합교실, 틈새공간, 교사휴게실, 학부모실 등 기자재 구입",2025-01-10,31000000,서울특별시교육청 동일여자고등학교,동일여자고등학교,7010156,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00009686&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00153612,물품,상암고 AI윰학교실 구축 가구 구입,,17000000,서울특별시교육청 상암고등학교,상암고등학교,7010806,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024120C7A1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00153883,물품,2024학년도 재능고 AI헬스케어학과 기자재(버츄얼메이트 외 1종) 구입,2024-12-30,27490000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202432095F2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00154713,물품,2024학년도 재능고 AI헬스케어학과 기자재(오실로스코프) 구입,2025-01-03,11500000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00005761&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00155235,물품,2024학년도 재능고 AI헬스케어학과 기자재(실습대) 구입,2024-12-30,20736000,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20243209932_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00159038,물품,상암고 AI융합교실 구축 가구 구입,2024-12-12,17000000,서울특별시교육청 상암고등학교,상암고등학교,7010806,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00014806&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00194294,물품,상암고 AI융합교실 구축 가구 구입,2024-12-12,17000000,서울특별시교육청 상암고등학교,상암고등학교,7010806,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00014806&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00208282,물품,2024학년도 산학일체형 도제학교 인공지능자동차과 실습 기자재 구입,2025-01-09,41560000,경기도교육청 부천공업고등학교,부천공업고등학교,7530254,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00004057&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE00260824,물품,2024학년도  AI융합전자과  실습실 기자재(Go2 Pro)  구입,2025-01-14,8690000,경기도교육청 수원정보과학고등학교,수원정보과학고등학교,7530899,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00018273&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
